,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-14.678411061168724,-4.9339509742149055,6.673709776805481e-06,,1.3709068298339844e-06,2.980232238769531e-07,1.7881393432617188e-07,2.980232238769531e-07,2.980232238769531e-07,2.384185791015625e-07,1.7881393432617188e-07,2.384185791015625e-07,2.980232238769531e-07,2.980232238769531e-07,4.76837158203125e-07,,0.007224967237561941,0.006173293571919203,0.006821384187787771,0.0074000004678964615,0.00833557453006506,0.0073007033206522465,0.007457344327121973,0.00684587424620986,0.007317759096622467,0.00700735067948699,0.007491461932659149
1,1,-14.350605288856201,-4.665877238605626,2.4590604880359024e-05,,,2.980232238769531e-07,2.384185791015625e-07,4.76837158203125e-07,4.172325134277344e-07,4.76837158203125e-07,4.172325134277344e-07,4.76837158203125e-07,6.556510925292969e-07,7.152557373046875e-07,1.0132789611816406e-06,,,0.0073240832425653934,0.008376006968319416,0.009059984236955643,0.010056091472506523,0.009669856168329716,0.0101386196911335,0.009166795760393143,0.010019039735198021,0.010119720362126827,0.010699124075472355
2,2,-14.804775044948249,-4.935442726979074,9.510193194728345e-06,,,,2.384185791015625e-07,4.172325134277344e-07,2.980232238769531e-07,2.980232238769531e-07,1.7881393432617188e-07,1.7881393432617188e-07,2.980232238769531e-07,2.980232238769531e-07,2.980232238769531e-07,,,,0.0076919482089579105,0.007955096662044525,0.008436755277216434,0.0074465093202888966,0.007365111261606216,0.0064909011125564575,0.006834890227764845,0.006432024296373129,0.0063336193561553955
3,3,-15.159530320287466,-5.0763666480786895,1.0737770708146854e-06,,,,,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,5.960464477539063e-08,1.7881393432617188e-07,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,,,,,0.006733784917742014,0.007137290667742491,0.006511589977890253,0.006506326142698526,0.005831156391650438,0.006210171151906252,0.005727971438318491,0.005459656938910484
4,4,-14.95883799210164,-4.992642532183274,7.171519200710463e-07,,,,,,2.980232238769531e-07,1.7881393432617188e-07,1.7881393432617188e-07,2.384185791015625e-07,1.7881393432617188e-07,2.384185791015625e-07,2.384185791015625e-07,,,,,,0.008375189267098904,0.007200483698397875,0.0071243890561163425,0.006315272767096758,0.006677735131233931,0.006185799837112427,0.005922351032495499
5,5,-15.356591069891548,-5.395765700700998,4.0079169139062287e-07,,,,,,,1.7881393432617188e-07,0.0,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,1.7881393432617188e-07,,,,,,,0.005199326202273369,0.0051310244016349316,0.004391073249280453,0.004515210632234812,0.004162284079939127,0.003954604733735323
6,6,-15.204290153678196,-5.308109627115242,7.136911222005438e-07,,,,,,,,1.7881393432617188e-07,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,1.7881393432617188e-07,,,,,,,,0.005474792327731848,0.004817179869860411,0.005052396561950445,0.004806757904589176,0.004645498003810644
7,7,-15.18374767925257,-5.400053220532931,4.948013270222873e-07,,,,,,,,,1.7881393432617188e-07,1.7881393432617188e-07,2.384185791015625e-07,5.960464477539063e-08,,,,,,,,,0.004813984502106905,0.004795811604708433,0.004432908724993467,0.004064925480633974
8,8,-15.092721179659874,-5.47990640575398,3.516420008509158e-07,,,,,,,,,,1.7881393432617188e-07,1.7881393432617188e-07,1.7881393432617188e-07,,,,,,,,,,0.004545736126601696,0.004112010821700096,0.0038782060146331787
9,9,-14.995851743799463,-5.224440082347167,4.353330780304532e-07,,,,,,,,,,,2.384185791015625e-07,1.7881393432617188e-07,,,,,,,,,,,0.005624643061310053,0.005152261350303888
10,10,-15.092721179659874,-5.34935439180635,4.2019337342935614e-07,,,,,,,,,,,,1.7881393432617188e-07,,,,,,,,,,,,0.004751117434352636
11,11,,,2.781874854917987e-07,,,,,,,,,,,,,,,,,,,,,,,,
