,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-14.98547307910938,-5.031522283542425,2.2966110009292606e-06,,1.1920928955078125e-06,2.980232238769531e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,2.980232238769531e-07,4.172325134277344e-07,,0.006373630836606026,0.006657334044575691,0.0063136667013168335,0.006936810445040464,0.007907846011221409,0.00710156699642539,0.006988896988332272,0.0062384274788200855,0.00620645796880126,0.006119899917393923,0.00531529588624835
1,1,-15.018197331605808,-4.949673471753831,2.175165946027846e-06,,,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,2.980232238769531e-07,2.980232238769531e-07,1.1920928955078125e-07,1.7881393432617188e-07,4.172325134277344e-07,4.172325134277344e-07,,,0.005969200283288956,0.006842691916972399,0.007471498101949692,0.008921974338591099,0.00814033206552267,0.007969980128109455,0.006936341058462858,0.006814114283770323,0.006595292128622532,0.0057928781025111675
2,2,-13.939172655394575,-4.653155896159956,4.21388585891691e-06,,,,6.556510925292969e-07,8.940696716308594e-07,7.748603820800781e-07,7.748603820800781e-07,7.748603820800781e-07,6.556510925292969e-07,7.748603820800781e-07,8.940696716308594e-07,8.940696716308594e-07,,,,0.009124449454247952,0.0102196354418993,0.01155915204435587,0.010438098572194576,0.010258998721837997,0.009108374826610088,0.009006270207464695,0.00883703026920557,0.007759124971926212
3,3,-15.333238903433024,-5.080802922373179,1.2398837725413614e-06,,,,,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,,,,,0.0074981809593737125,0.00811149924993515,0.007078974042087793,0.006726809777319431,0.005774373188614845,0.005533414427191019,0.00529098603874445,0.004545216448605061
4,4,-14.23872752716068,-4.8034569396714355,2.585598622317775e-06,,,,,,6.556510925292969e-07,5.960464477539062e-07,4.76837158203125e-07,4.172325134277344e-07,4.76837158203125e-07,6.556510925292969e-07,6.556510925292969e-07,,,,,,0.010795320384204388,0.00930050015449524,0.008830600418150425,0.007780448067933321,0.007611917797476053,0.007374800741672516,0.006444326136261225
5,5,-15.464048361353909,-5.294739322229646,8.088769050118572e-07,,,,,,,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,,,,,,,0.0066861845552921295,0.006008520722389221,0.004985292442142963,0.004679813049733639,0.0044223894365131855,0.003850957378745079
6,6,-14.377142379995641,-4.899932501143094,1.782352455848013e-06,,,,,,,,6.556510925292969e-07,4.172325134277344e-07,4.172325134277344e-07,4.76837158203125e-07,4.172325134277344e-07,,,,,,,,0.00960687454789877,0.007930557243525982,0.007379976101219654,0.006915068719536066,0.005890673492103815
7,7,-14.540268866255047,-4.967628775750092,1.3983128610561835e-06,,,,,,,,,4.172325134277344e-07,2.980232238769531e-07,4.172325134277344e-07,4.172325134277344e-07,,,,,,,,,0.007913107052445412,0.007378600537776947,0.006921170745044947,0.0058052269741892815
8,8,-14.562100712439454,-5.029477970792146,1.1115769211755833e-06,,,,,,,,,,2.980232238769531e-07,4.172325134277344e-07,4.172325134277344e-07,,,,,,,,,,0.007355880923569202,0.006781996693462133,0.0056126001290977
9,9,-13.821458540562217,-4.7980029718182235,1.3616280511996592e-06,,,,,,,,,,,8.940696716308594e-07,8.940696716308594e-07,,,,,,,,,,,0.00922925304621458,0.007367674261331558
10,10,-13.949201526657435,-5.012032968215108,9.56548888098041e-07,,,,,,,,,,,,7.748603820800781e-07,,,,,,,,,,,,0.006657255347818136
11,11,,,7.306672387130675e-07,,,,,,,,,,,,,,,,,,,,,,,,
