,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-14.039436254598531,-4.635369660671156,6.781060619687196e-06,,1.7285346984863281e-06,4.76837158203125e-07,2.980232238769531e-07,4.76837158203125e-07,5.364418029785156e-07,5.960464477539062e-07,5.960464477539062e-07,6.556510925292969e-07,7.748603820800781e-07,1.0728836059570312e-06,1.3709068298339844e-06,,0.00756783178076148,0.007538325153291225,0.007996886037290096,0.009011677466332912,0.01068705040961504,0.010500342585146427,0.011160106398165226,0.010399987921118736,0.010788746178150177,0.01113623846322298,0.01114898081868887
1,1,-13.865711632027597,-4.492191245815318,2.467776539560873e-05,,,4.76837158203125e-07,3.5762786865234375e-07,4.76837158203125e-07,5.960464477539062e-07,7.748603820800781e-07,9.5367431640625e-07,9.5367431640625e-07,1.3709068298339844e-06,1.7285346984863281e-06,2.086162567138672e-06,,,0.0073069254867732525,0.008654667064547539,0.009704825468361378,0.011883294209837914,0.011586752720177174,0.012849530205130577,0.012109516188502312,0.012918919324874878,0.013526761904358864,0.013468408025801182
2,2,-14.565676170926057,-4.91046690531511,9.510284144198522e-06,,,,1.7881393432617188e-07,1.7881393432617188e-07,3.5762786865234375e-07,3.5762786865234375e-07,3.5762786865234375e-07,4.172325134277344e-07,4.76837158203125e-07,5.960464477539062e-07,6.556510925292969e-07,,,,0.006358898710459471,0.006890563759952784,0.0078723831102252,0.007374259177595377,0.007939288392663002,0.0072913565672934055,0.007606897968798876,0.00768754119053483,0.007440506014972925
3,3,-15.178085507146466,-5.170333110568496,1.07271500837669e-06,,,,,1.1920928955078125e-07,1.7881393432617188e-07,1.1920928955078125e-07,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,1.7881393432617188e-07,2.980232238769531e-07,,,,,0.005719056818634272,0.006334240548312664,0.005919246468693018,0.005962328054010868,0.0054073878563940525,0.00538091454654932,0.005496643017977476,0.005317643750458956
4,4,-15.30433221019666,-5.180476294381373,7.179464773798827e-07,,,,,,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,1.1920928955078125e-07,5.960464477539063e-08,2.980232238769531e-07,1.7881393432617188e-07,,,,,,0.006722122430801392,0.005943699739873409,0.005918140523135662,0.005326078273355961,0.0053143613040447235,0.005270545370876789,0.005052625667303801
5,5,-15.753521392434017,-5.435541321450664,3.977619087436324e-07,,,,,,,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0,1.1920928955078125e-07,5.960464477539063e-08,,,,,,,0.005219794809818268,0.004933906253427267,0.004281462635844946,0.0041417586617171764,0.003995428793132305,0.0037583874072879553
6,6,-15.412066217205773,-5.317821237002509,7.148374265852908e-07,,,,,,,,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,1.7881393432617188e-07,,,,,,,,0.0055255889892578125,0.00488882465288043,0.004803637508302927,0.004751041531562805,0.004597391001880169
7,7,-15.123988617110161,-5.3359521666244865,4.962706157130015e-07,,,,,,,,,2.980232238769531e-07,1.1920928955078125e-07,1.7881393432617188e-07,1.1920928955078125e-07,,,,,,,,,0.005201130639761686,0.004913373850286007,0.004716307390481234,0.004460523836314678
8,8,-15.333238903433022,-5.3937234473901094,3.5037214729527477e-07,,,,,,,,,,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,,,,,,,,,,0.004840492270886898,0.004523138049989939,0.004287942312657833
9,9,-14.965224200196529,-5.278603613468594,4.341902126725472e-07,,,,,,,,,,,3.5762786865234375e-07,1.1920928955078125e-07,,,,,,,,,,,0.005386138800531626,0.0048280144110322
10,10,-15.092721179659874,-5.34701647984734,4.1853718357742764e-07,,,,,,,,,,,,1.7881393432617188e-07,,,,,,,,,,,,0.00476223835721612
11,11,,,2.7762533250097476e-07,,,,,,,,,,,,,,,,,,,,,,,,
