,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.046745037546927,-8.485524748033898,2.612700882309582e-06,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0026103751733899117,0.0005208340007811785,0.00012497177522163838,0.00012395356316119432,0.00014052927144803107,0.00012763281119987369,0.0001315290865022689,0.0001276459515793249,0.00013877931633032858,0.00015110436652321368,0.0002167042257497087
1,1,-16.118095650958317,-8.664169522373566,3.18814136335277e-06,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00048241138574667275,0.0001476933975936845,0.00014310804544948041,0.0001578968222020194,0.0001425740629201755,0.00014491970068775117,0.00013885169755667448,0.0001465129025746137,0.00015481089940294623,0.0002234225976280868
2,2,-16.11809565095832,-8.586781063536739,4.126680323679466e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00018401247507426888,0.00017998903058469296,0.00019780825823545456,0.0001762218598742038,0.00017773309082258493,0.00016628486628178507,0.00017656316049396992,0.00018750243179965764,0.00024112587561830878
3,3,-16.11809565095832,-8.632234332139959,1.950545993167907e-06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00017421148368157446,0.0001903717202367261,0.0001690149074420333,0.00016974711616057903,0.0001580414391355589,0.00016732334916014224,0.00017721494077704847,0.0002276941086165607
4,4,-16.11809565095832,-8.43331963595766,1.8947356466014753e-06,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00023127614986151457,0.00020544345898088068,0.0002064992004306987,0.000192255771253258,0.0002035974757745862,0.00021562696201726794,0.0002771327563095838
5,5,-16.11809565095832,-8.574177357240126,8.34710760955204e-07,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00018136444850824773,0.00018164089124184102,0.00016868427337612957,0.0001782622275641188,0.0001885449019027874,0.0002426551072858274
6,6,-16.11809565095832,-8.132889502047702,1.7560662399773719e-06,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0002794403408188373,0.0002602694439701736,0.00027530035004019737,0.0002912674390245229,0.0003741956898011267
7,7,-16.11809565095832,-8.05334084174137,1.6783719729573932e-06,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0002782258379738778,0.000294183730147779,0.0003112030099146068,0.00040114621515385807
8,8,-16.11809565095832,-8.040453148934494,1.1183620927113225e-06,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.00028543671942315996,0.0003013861714862287,0.0003883161989506334
9,9,-16.11809565095832,-7.631014983869443,1.337938329015742e-06,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.00042783765820786357,0.0005499524413608015
10,10,-16.11809565095832,-7.457288705527659,1.0199996722803917e-06,,,,,,,,,,,,0.0,,,,,,,,,,,,0.000577119062654674
11,11,,,7.031763971099281e-07,,,,,,,,,,,,,,,,,,,,,,,,
