,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-5.279373079521231,-0.2959093443442294,0.03349529206752777,,0.011860966682434082,0.003968179225921631,0.0033684372901916504,0.004328727722167969,0.004445970058441162,0.004608273506164551,0.004687488079071045,0.004495501518249512,0.005089282989501953,0.005992889404296875,0.006655097007751465,,0.6076860427856445,0.6380479335784912,0.7083993554115295,0.7943235039710999,0.9296053647994995,0.8441468477249146,0.8419146537780762,0.7529985308647156,0.7510981559753418,0.7372857928276062,0.6418753862380981
1,1,-5.464354204101067,-0.2954665038729537,0.026327306404709816,,,0.0033947229385375977,0.003359496593475342,0.004145979881286621,0.004244804382324219,0.004466533660888672,0.004347741603851318,0.0039504170417785645,0.004343569278717041,0.004999697208404541,0.00555109977722168,,,0.6100472807884216,0.7327984571456909,0.8078476786613464,0.9296125769615173,0.8507178425788879,0.8290155529975891,0.7280452847480774,0.7145516872406006,0.694537341594696,0.6089615821838379
2,2,-4.796357259692812,0.05360616046987469,0.050961729139089584,,,,0.006343364715576172,0.008132517337799072,0.008025169372558594,0.008324027061462402,0.008114039897918701,0.007485568523406982,0.008218526840209961,0.009507417678833008,0.01094120740890503,,,,0.997125506401062,1.1392734050750732,1.2846993207931519,1.1679493188858032,1.1486601829528809,1.0216951370239258,0.9891344904899597,0.9586553573608398,0.8540704846382141
3,3,-5.414629144626813,-0.2812005100310316,0.02077610045671463,,,,,0.004791617393493652,0.004478096961975098,0.00451427698135376,0.004275381565093994,0.003871023654937744,0.004098951816558838,0.004647552967071533,0.005044162273406982,,,,,0.844286322593689,0.9498482346534729,0.8508576154708862,0.8189448714256287,0.7125179767608643,0.6893133521080017,0.666176438331604,0.5767027735710144
4,4,-5.474627177277735,-0.31306890519419917,0.01981368288397789,,,,,,0.004898369312286377,0.00453341007232666,0.004021763801574707,0.0035225749015808105,0.003715991973876953,0.004208028316497803,0.00462263822555542,,,,,,0.993293046951294,0.8601861596107483,0.8022120594978333,0.6877418160438538,0.6632057428359985,0.6398245692253113,0.5586729645729065
5,5,-5.880583823107675,-0.5336339708318268,0.009522544220089912,,,,,,,0.0034923553466796875,0.0030155181884765625,0.00250166654586792,0.00250166654586792,0.0026481151580810547,0.002720773220062256,,,,,,,0.7563734650611877,0.7012987732887268,0.5917215943336487,0.5571697950363159,0.5243250727653503,0.44374072551727295
6,6,-5.253809600439425,-0.2561910058632216,0.022547561675310135,,,,,,,,0.0058800578117370605,0.004879593849182129,0.004791140556335449,0.005099594593048096,0.005568742752075195,,,,,,,,0.9722656011581421,0.814932107925415,0.7643005847930908,0.7226935029029846,0.6346928477287292
7,7,-5.088780417914022,-0.20602871149074503,0.023389505222439766,,,,,,,,,0.005768477916717529,0.005833983421325684,0.006346166133880615,0.006766200065612793,,,,,,,,,0.8980504870414734,0.8591924905776978,0.8160524964332581,0.6965978741645813
8,8,-5.475609349203186,-0.45086457582428546,0.012368242256343365,,,,,,,,,,0.004168331623077393,0.004215359687805176,0.004179477691650391,,,,,,,,,,0.713622510433197,0.6602542400360107,0.5487774610519409
9,9,-4.834018612131653,-0.19037906260559737,0.017602795735001564,,,,,,,,,,,0.008198261260986328,0.0077179670333862305,,,,,,,,,,,0.9175674915313721,0.7447333931922913
10,10,-5.0819639289163145,-0.40171870944083504,0.010004254989326,,,,,,,,,,,,0.006207704544067383,,,,,,,,,,,,0.6691689491271973
11,11,,,0.006304838228970766,,,,,,,,,,,,,,,,,,,,,,,,
