,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-5.41723716456169,-0.21379067449040326,0.06588199734687805,,0.012691080570220947,0.0034691691398620605,0.003187716007232666,0.004260122776031494,0.004032909870147705,0.003792107105255127,0.0036563873291015625,0.003423631191253662,0.004160821437835693,0.0048258304595947266,0.005743086338043213,,0.7136621475219727,0.6681049466133118,0.7823390364646912,0.8512062430381775,0.9548628926277161,0.8595653176307678,0.8695736527442932,0.7694587111473083,0.8397027850151062,0.8230751156806946,0.789999783039093
1,1,-5.677014214181162,-0.25640722295699286,0.17317688465118408,,,0.0028565526008605957,0.002358734607696533,0.0033459067344665527,0.003087460994720459,0.003082573413848877,0.0031813979148864746,0.003210783004760742,0.0039362311363220215,0.004420757293701172,0.005803406238555908,,,0.6172880530357361,0.6963543891906738,0.7895671725273132,0.8750984072685242,0.8145067095756531,0.8384854197502136,0.7613738179206848,0.8184080123901367,0.7809734344482422,0.77997225522995
2,2,-5.900612854623938,-0.358573849994941,0.06320498138666153,,,,0.0026430487632751465,0.0031488537788391113,0.0027765631675720215,0.002355813980102539,0.002276480197906494,0.0022449493408203125,0.0027070045471191406,0.0029325485229492188,0.003912508487701416,,,,0.7336634993553162,0.760676920413971,0.8217794299125671,0.7049593329429626,0.7069820761680603,0.6451287865638733,0.6772918701171875,0.6279512047767639,0.6325387358665466
3,3,-5.963143771090995,-0.4373291864645743,0.010537654161453247,,,,,0.003931105136871338,0.0030191540718078613,0.0026154518127441406,0.002351820468902588,0.0021062493324279785,0.0022439956665039062,0.0022215843200683594,0.0024967193603515625,,,,,0.7942771911621094,0.8100280165672302,0.7015681862831116,0.6860310435295105,0.5956017374992371,0.6005941033363342,0.5381114482879639,0.5073033571243286
4,4,-6.031229650490228,-0.44187754787814676,0.007816050201654434,,,,,,0.002982795238494873,0.0023978352546691895,0.00213545560836792,0.0019246935844421387,0.0022182464599609375,0.0023869872093200684,0.0029684901237487793,,,,,,0.8619635701179504,0.7131023406982422,0.6856439709663391,0.583859384059906,0.6101832389831543,0.5587236285209656,0.5407046675682068
5,5,-6.465868631719896,-0.6725367888017318,0.0066934749484062195,,,,,,,0.0014761090278625488,0.0014168620109558105,0.0013346672058105469,0.001514136791229248,0.0016719698905944824,0.0020055770874023438,,,,,,,0.5633392333984375,0.5599671006202698,0.49489155411720276,0.5099482536315918,0.4765068292617798,0.46610966324806213
6,6,-6.404883212965771,-0.660448137590868,0.0063410233706235886,,,,,,,,0.00163346529006958,0.0014681220054626465,0.00158613920211792,0.0016556382179260254,0.001962423324584961,,,,,,,,0.6001060009002686,0.5197527408599854,0.5301912426948547,0.48426350951194763,0.4595322906970978
7,7,-6.044546936315223,-0.5138093576507341,0.009960492141544819,,,,,,,,,0.002068817615509033,0.0021719932556152344,0.0023529529571533203,0.002987802028656006,,,,,,,,,0.6246999502182007,0.6210842132568359,0.5805081129074097,0.5685798525810242
8,8,-6.233944907066426,-0.6314704318159464,0.006344672292470932,,,,,,,,,,0.0018706321716308594,0.0018492341041564941,0.002182304859161377,,,,,,,,,,0.5798423886299133,0.5225176215171814,0.496428519487381
9,9,-5.503020029135383,-0.31781584177451994,0.011507355608046055,,,,,,,,,,,0.0038111209869384766,0.004355967044830322,,,,,,,,,,,0.749876081943512,0.7062511444091797
10,10,-5.676391894780201,-0.48744020741240235,0.00822210032492876,,,,,,,,,,,,0.003425896167755127,,,,,,,,,,,,0.6141965985298157
11,11,,,0.004962591454386711,,,,,,,,,,,,,,,,,,,,,,,,
