,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the,s, a,",", the, the, of, of, the, a, a, the
1,bread and, the, a, a,",", the, the, the, a, the, a, a, the
2,salt and, the, the, the, the, the, of, the, of, the, the, the, the
3,thunder and, the, the, the, as, the, of, the, of, the, the, the, the
4,social media,",",:,",","
",.,",", the, of,",", and,",",","
5,credit card,",",:,",", number,",", card, card, of,"),", and,",",","
6,climate change,",",:,",", it,.,.,., of,",",.,",",","
7,artifical intelligence,., and, of,.,"
",",",",","""",",",",",.,.
8,global warming,",", in,",",",",.,., warming, of,",",.,",",.
9,state of, the,s, the, the, the, the, of, of, the, the, the, the
10,fast food,",",.,",",",",.,., food, of,"),", and,",",","
11,rising sea,",",.,",",-,",",",", of, of,",",.,",", sea
12,University of, the,s, the, the, the, the, of, of, the, the, Washington, Cambridge
13,We will,",", be, be, be, be, be, be, be, use, be, not, be
14,Do you,",",'s,'re,., have, have,., of,",", have, think, know
15,When you, the, is,-, are, are, are, are, were, were, could, have, see
16,did not, the, to, to, be, have, have, be, of,",", have, have, show
17,You can, the, be, be, be, also, also, use, see, also, see, also, see
18,You may, the, be, be, be, be, also, be, have, be, have, also, be
19,He was, the, not, a, the, a, a, a, a, a, a, a, a
20,If you,",", is,-, are, are, are,., of, were, could, have, are
21,when they, the, are, are, are, are, are, are, were, were, were, were, were
22,be in, the, a, the, the, the, the, in, the, the, the, the, the
23,the end, the, of, of, of, of, of, of, of,",", of, of, of
24,the past,",",.,.,",", and, year,",", two,"),", and,",",","
25,each other, the,s,",",",", is,'s, of, of,",", and,",",","
26,and there, the, is,'s, is, is, is, with, of, the, was, was,'s
27,on all, the,s,-,",", in, the, of, of, the, the, the, the
28,the form,",", a, of, of, is, of, of, of, of, of, of, of
29,in all, the,s, the,",", times,), of, of,",", the, of, the
30,years ago, the, [,.,",", and,),.,",","),",",",",",","
31,for example,",",",",",",",",",",), in, of,",",",",",",","
32,to top,",",:,",", of,",",), of, of,",", the, the, of
33,and on, the, to, the, the, the, the, in, the, the, the, the, the
34,as well,.,",",.,",",",", as,., of, as, as, as, as
35,to all, the,s, the,",", times, the, of, of,",", the, the, the
36,as possible,",", to,.,",",.,), in, of,",",.,",",","
37,a member, the,:, of, of,., of, of, of,",", of, of, of
38,more info,",",:,.,.,:,).,., of,",", about, on, on
