,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-0.3164789226315309,2.0445333454404353,2.1554267406463623,,0.7585471123456955,0.5340323746204376,0.837023600935936,0.8499696403741837,0.7385112047195435,0.8215204328298569,0.7540464699268341,0.7680094391107559,0.7026871144771576,0.6660438179969788,0.649244487285614,,5.368602752685547,6.702508449554443,8.617899894714355,8.436701774597168,9.74134349822998,8.999403953552246,8.827892303466797,8.170856475830078,7.751941680908203,7.030895709991455,6.4889421463012695
1,1,-1.3076703936919052,1.8103305932940958,2.2887566089630127,,,0.2729867100715637,0.25257164239883423,0.2773052453994751,0.2543843388557434,0.2573849558830261,0.264133095741272,0.24435895681381226,0.26566725969314575,0.300648033618927,0.3243802785873413,,,5.137867450714111,6.036678791046143,6.26788330078125,7.281594753265381,6.901226043701172,7.016633033752441,6.342609405517578,6.056142807006836,5.71140193939209,4.841452598571777
2,2,-0.6446631736632236,2.1953261798408947,1.2246320247650146,,,,0.6179046630859375,0.6325145363807678,0.556274950504303,0.5418403744697571,0.5036841630935669,0.4477800726890564,0.4584493041038513,0.47329002618789673,0.5241341888904572,,,,8.76215648651123,8.795830726623535,10.100454330444336,9.335773468017578,9.517053604125977,8.772719383239746,8.979607582092285,8.404483795166016,8.317219734191895
3,3,-1.093368661163171,1.9299345595644715,1.4078713655471802,,,,,0.44792646169662476,0.3564693331718445,0.33525550365448,0.31114643812179565,0.2883685827255249,0.3016470670700073,0.32324129343032837,0.33939439058303833,,,,,7.32879114151001,7.947532653808594,7.3018903732299805,7.469223976135254,7.109442234039307,6.970953941345215,6.259137153625488,5.148275375366211
4,4,-1.3567416634746168,1.799589588270594,1.1882318258285522,,,,,,0.28333401679992676,0.2771880626678467,0.25328755378723145,0.2256895899772644,0.23316103219985962,0.25328826904296875,0.2831081748008728,,,,,,7.348457336425781,6.672820091247559,6.618955135345459,6.050387382507324,5.8823137283325195,5.383440971374512,4.755283832550049
5,5,-1.4862815634630089,1.7000444693228156,0.8842937350273132,,,,,,,0.2684454917907715,0.22324836254119873,0.20304793119430542,0.2112809419631958,0.22285807132720947,0.2338649034500122,,,,,,,6.418957233428955,6.143446922302246,5.7389116287231445,5.590795993804932,5.109694480895996,4.162410259246826
6,6,-1.1405667220977402,1.9560445199750736,2.4606027603149414,,,,,,,,0.26781177520751953,0.26196008920669556,0.3178900480270386,0.3606533408164978,0.41481947898864746,,,,,,,,6.906848907470703,6.687838077545166,7.554041385650635,7.6778244972229,6.599536895751953
7,7,-1.2093244200579263,1.7652903901190256,1.4605400562286377,,,,,,,,,0.2952788472175598,0.282057523727417,0.29118186235427856,0.32692939043045044,,,,,,,,,6.035367488861084,5.967878341674805,5.91013765335083,5.476489067077637
8,8,-1.1487031855918153,1.8424094391543777,1.367226004600525,,,,,,,,,,0.3031069040298462,0.3098475933074951,0.3393357992172241,,,,,,,,,,6.621347904205322,6.35167932510376,5.978741645812988
9,9,-1.2859131784484341,1.6833377966459537,0.8463107347488403,,,,,,,,,,,0.2756415009498596,0.2771567106246948,,,,,,,,,,,5.733592510223389,5.054774761199951
10,10,-1.357553951406849,1.588367685981807,0.6220619678497314,,,,,,,,,,,,0.2572893500328064,,,,,,,,,,,,4.895750999450684
11,11,,,0.3482062816619873,,,,,,,,,,,,,,,,,,,,,,,,
