,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the,",", higher, the, a, a, said, a, in, the, he, the
1,bread and, the,",", more, the, more, you, was, that, in, other, chocolate, water
2,salt and,",",",", the, the, in, the, was, pepper, the, tar, the, the
3,thunder and,.,., the, the, a, the, was, a, the, the, the, the
4,social media,.,",",).,., and,",",",", that, to, and,",",","
5,credit card,"
",.,).,), card,",",",", that,., information,),)
6,climate change,",",",", in,.,.,.,",", that,.,",",",",","
7,artifical intelligence,"
", is,),),-,",",",",",", (,",",",",","
8,global warming,",",",",).,), and,.,",", that, to, and,",", is
9,state of, the, the, the, the, the, the, of, the, this, the, the, the
10,fast food,"
",",",).,., and,",",",", but, (, and,/, and
11,rising sea,",",",",),),.,",",",",-,-,-, of, ice
12,University of,",", of, the, the,"
", in, of, the, this, The, Wisconsin, Maryland
13,We will,"
", be, be, be, be, be, be, continue, do, be, have, be
14,Do you,",",",", need,"
","
", want, have, have, do, have, think, have
15,When you, of, are, you,'re, are, have, are, and, have, have, have, look
16,did not,",",., not,)., have, have,",",",", do, have, have, have
17,You can,"
",'t,'t,'t, be,'t, see,'t, do, also,'t, use
18,You may,"
", be, be, not, not, not, have, have, do, also, have, have
19,He was, the, a, a, a, a, a, said, a, found, also, a, a
20,If you,",", are, need, want, do, want, are, are, have, have, have, are
21,when they,",", are, think, are, were, are, are,'re, do, are, have, are
22,be in, the, the, the, the, the, the,",", a, the, the, the, the
23,the end, of, of,)., of, of, of, of, that, of, of, of, of
24,the past,",",",",",",",", year,",",",", that, year,",", year,","
25,each other,",",.,).,),.,",",",", that, in,'s,),","
26,and there,",",",",",",'s, was, is, was,'s, is,'s,'s, are
27,on all, the,.,-,.,-, the,",", that, in, your, the, the
28,the form,"
", of, of, of, a, of, of, of, of, ', of, of
29,in all,",",.,-,), 3, the,",", that, this, the, the, the
30,years ago,",",",", in,),"
",",",",", that,.,",",",",","
31,for example,"
",",",",",",",",",",",",", that,",",",",",",","
32,to top,"
",.,",", 10, it,",",",",-, it, the, of, of
33,and on, the, the, on, the, the, the, the, the, the, the, the, the
34,as well,",",",",)., as, as,.,",", as,., as, as, as
35,to all,",",.,-,), of,",",",", that, this, the, the, the
36,as possible,"
",",",",",),.,",",",", that,.,",",",",.
37,a member,"
",'s,).,.,",",",",",", of, of, of, of, of
38,more info,"
",",",),),"
",",",",", but,.,",", at,]
