,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and,., the, you, the, ownership, above, very, you, a, then, I, the
1,bread and,., and, you, the, video, other, the, you, a, other, and, other
2,salt and,., not, other, a, and, the, make,>, and, the, salt, the
3,thunder and,., not, other, have, and, you, make,>, and, the, is, the
4,social media,"
", sources,:,., and,',"""",",",.,",", and,""""
5,credit card,., holders,:,",",holder,"""",),",",.,",",",",)
6,climate change,"
", change,.,., climate,",","""",",",.,., and,","
7,artifical intelligence,"
", is, is,",", report,",",",""", of,",",., is,","
8,global warming,"
",",""", the,., data,"""","""",",",.,.,.,","
9,state of,., the, ', the, the,D, the, the, the, the, the, the
10,fast food,"
", is,.,., service,"""", menu,",",., and, and,","
11,rising sea,",", and, level,",", level,",","""",-,",",-, and,-
12,University of,., in, the, the, education,"
", the, you, Bristol, South, California, California
13,We will,., will, be,",""", to, be, be, be, be, continue, be, be
14,Do you,., in, want,., know, have, know, have, have, think, think, know
15,When you,., you, see,., as, are, know, get, say, are,'re,'re
16,did not,., not, to,",",-, mean,), see, return, say, have, respond
17,You can,., be, use,",",'t, do,'t, get, use, use, also, see
18,You may,., be, be, be, not, be, be, have, have, also, also, be
19,He was,., the, a,",", a, the, the, a, a, a, also, a
20,If you,., you, can,., and, are,'re,'re, have, want,'re,'re
21,when they,., people, they,., were,'re,'s,'re, are,'re,'re,'re
22,be in,., the, the, the, the, the, the, a, the, the, the, the
23,the end,"
", is, the,",", of, of, of,",", of, of, of, of
24,the past,",", and, or,.,",",",",ries,",", to,",",",",","
25,each other,.,], other,",",-,",",",",",", in,.,?,","
26,and there,., there, is,.,'s,'s,'s, you,'s, you,'s, are
27,on all,., all, the,",", the, in, the, you,-, the, the, the
28,the form,",", is, of,",", he, of, you, you, of," """," """, of
29,in all,., all, the,",", the,",", the, you,-, the, the, the
30,years ago, of,",",.,",",.,",",",",",",.,",",.,.
31,for example,., is,:,),",",",",",",",",",",",",",",","
32,to top,"
",-, of,",",-,-,-, it,-,",","
", of
33,and on,., the, the,), the, the, the, it, the, the, the, the
34,as well,.,",",.,",",-, as, as, as, as, as, as, as
35,to all,.,-, the,",", the, in, the, you,., the, the, the
36,as possible,.,",", possible,.,., for,.,",",.,.,.,.
37,a member,., states,.,., of, of, of, of,., of, of, of
38,more info,"
",], info,., public, on,:,",", on,:,"
",]
