,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and,"
", the,",", the, the, is, the, the, it, a, have, the
1,bread and,"
", the, tens, a, the, and, the, not, the, the, a, the
2,salt and,"
", the, the, the, other, to, the, the, a, water, liquid, the
3,thunder and, to, to, I, the, the, the, for, to, the, the, the, the
4,social media,"
",",",",",.,., media,.,",",",",.,",",","
5,credit card,., card,",",",", cards,",",),., from,",",.,","
6,climate change, Title,., in,",",",", in,",", and,",",",",.,","
7,artifical intelligence,),"
",.,.,., is,.,",",",",",",",",.
8,global warming,",","""",),., and,"""",",","""",., is,"""",.
9,state of,-, the, the, the, the, the, the, the, the, the, the, the
10,fast food,",",.,.,.,., and, food, on, (, was,",",","
11,rising sea,.,),",",., ice, of,-,"""",-,",", level,-
12,University of,"
", the, the, Health, the, the, more, the, Chicago, and, California, California
13,We will,), be, be, be, be, be, not, be, be, be, be, not
14,Do you,"
",?,., have, want, want, have, have, think, want, know, have
15,When you,., want, have, are, get,'re, can, were, have, have, have,'re
16,did not, not,"""",-, have, (, have, change, have, participate,",", have, have
17,You can, the,'t,'t, see, do,'t, use,'t, make, use, find, also
18,You may, the, be, be, have, have, not, not, also, wish, also, be, have
19,He was,), the, a, the, a, a, saying, going, also, a, a, a
20,If you, to, a, want, are, are, are, do, want, are, have,'re, are
21,when they,., is, are,'re, are,'re, asked, were, were, are, have, were
22,be in, L, the, the, the, the, the, in, the, the, the, a, the
23,the end,"
", of, of, of, of, of, of, of,), of, of, of
24,the past, version,",",",",",", two,",", year,",",),",",-,","
25,each other,),.,",",",", thing,?, with,",",'s,",",",",","
26,and there,.,",",., is, the, is,'s, is, is, were, are,'s
27,on all,",", the, the, the, the, things,., of,-, the, the, the
28,the form,"
", of,.,', of, of, of, of, of, of, of, of
29,in all,",", the, about, of,",", the, of, cases, of, the,",", the
30,years ago, its,",",), to, from,",",",",",",",",",",",",.
31,for example,.,",",",",",",",",",","
",",",",",",",",",","
32,to top,.,., of,., of, the, of, of, of, of, off, of
33,and on,"
", the, the, the, the, the, -, the, the, the, the, the
34,as well,"
",.,1, as,-, as, as,",", as, as, as, as
35,to all,., of, the, of, the, the, other, the, the, the, of, the
36,as possible,.,., to,., to,",",.,",",.,.,",",.
37,a member,), of, of, of, of, of, of, of, of, of, of, of
38,more info,"
", you, on,),:,",",",", to,).,"
", at,:
