,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-0.5311486087496914,2.088756662825275,2.8046762943267822,,0.7157371640205383,0.5264817774295807,0.5640323758125305,0.5998300909996033,0.5500207543373108,0.5866505205631256,0.5760698020458221,0.567936360836029,0.5800619423389435,0.602519690990448,0.6167765557765961,,5.616664886474609,7.262633323669434,8.170598030090332,8.458582878112793,9.90737247467041,9.20459270477295,9.285612106323242,8.57064151763916,8.366462707519531,7.85567569732666,7.077077865600586
1,1,-0.9961727360629619,1.9190360679982181,1.5473474264144897,,,0.3661925196647644,0.38199305534362793,0.3931533098220825,0.3528629541397095,0.37027037143707275,0.36149680614471436,0.3512154221534729,0.35784876346588135,0.3743276596069336,0.3860071897506714,,,5.790579319000244,6.9576287269592285,7.057801246643066,8.113889694213867,7.656229019165039,7.70506477355957,7.041086673736572,6.7140350341796875,6.195168495178223,5.416494846343994
2,2,-1.1192060956884715,1.9229658135637098,1.6362311840057373,,,,0.3645249009132385,0.37675023078918457,0.3248786926269531,0.31525278091430664,0.3033004403114319,0.2804839611053467,0.29968369007110596,0.32716095447540283,0.35978925228118896,,,,6.997567176818848,7.032716751098633,7.984256267547607,7.371953964233398,7.458252906799316,6.787286281585693,6.604522228240967,6.15137243270874,5.510195255279541
3,3,-1.3160840506516027,1.813283393315059,1.1950374841690063,,,,,0.3554203510284424,0.2839817404747009,0.26425492763519287,0.24598872661590576,0.22416383028030396,0.2400696873664856,0.26463812589645386,0.28637123107910156,,,,,6.77800178527832,7.2923502922058105,6.626739501953125,6.640356063842773,6.02086067199707,5.8873491287231445,5.492125034332275,4.71207857131958
4,4,-1.208377204921311,1.8757534426441869,1.2726328372955322,,,,,,0.3527204394340515,0.3252192735671997,0.2920565605163574,0.2598942518234253,0.2693799138069153,0.2896016836166382,0.3121923804283142,,,,,,8.06574535369873,7.141958236694336,7.069538116455078,6.447484016418457,6.423882484436035,5.89864444732666,5.06538724899292
5,5,-1.4933128341961261,1.6926937864646974,0.8579771518707275,,,,,,,0.2639363408088684,0.22423940896987915,0.19844871759414673,0.20592516660690308,0.22200220823287964,0.23924821615219116,,,,,,,6.390092849731445,6.065459728240967,5.5139384269714355,5.466488361358643,5.0917439460754395,4.328701496124268
6,6,-1.1128710923991403,1.9023479340837368,1.4236056804656982,,,,,,,,0.3498097062110901,0.3162776827812195,0.30988889932632446,0.3237341046333313,0.34525203704833984,,,,,,,,7.569006443023682,6.844305992126465,6.942912578582764,6.599638938903809,5.694634914398193
7,7,-1.2240037813230176,1.7992577976351196,1.2104542255401611,,,,,,,,,0.2980690598487854,0.28335458040237427,0.29093801975250244,0.3042566180229187,,,,,,,,,6.464213848114014,6.405073165893555,6.139286041259766,5.253796577453613
8,8,-1.2755585251333554,1.7383957773945014,1.0381492376327515,,,,,,,,,,0.2757149338722229,0.27651554346084595,0.2857038378715515,,,,,,,,,,6.154414653778076,5.8286662101745605,5.1306352615356445
9,9,-1.055270099096419,1.8270991555399543,0.9298412799835205,,,,,,,,,,,0.3485792279243469,0.3476182222366333,,,,,,,,,,,6.513639450073242,5.93163537979126
10,10,-1.1527035206477105,1.724539098597872,0.6948974132537842,,,,,,,,,,,,0.3157818913459778,,,,,,,,,,,,5.6099348068237305
11,11,,,0.5150766372680664,,,,,,,,,,,,,,,,,,,,,,,,
