,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-4.188220489068776,2.814532820138993e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013008888810873032,0.010441306978464127,0.010731915943324566,0.011435183696448803,0.0132866520434618,0.014344170689582825,0.015453566797077656,0.016712486743927002,0.01870160736143589,0.021319765597581863,0.02999839186668396
1,1,-16.118095650958317,-4.555480756220106,4.14153475958301e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008296246640384197,0.008213210850954056,0.00831106211990118,0.008932286873459816,0.00943546649068594,0.01011283416301012,0.01110209058970213,0.012169613502919674,0.013693731278181076,0.018403587862849236
2,2,-16.11809565095832,-4.308853121205425,4.984752166592443e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.010260423645377159,0.010437781922519207,0.011273535899817944,0.011694759130477905,0.012483280152082443,0.013591643422842026,0.014934058301150799,0.01732611283659935,0.023220162838697433
3,3,-16.11809565095832,-4.265523328809794,4.092601457728051e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.011694633401930332,0.01217837817966938,0.012062369845807552,0.012644634582102299,0.01372545026242733,0.01476995274424553,0.01652262918651104,0.020803147926926613
4,4,-16.11809565095832,-4.3001943287034035,4.922074126056941e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.011514507234096527,0.01102717500180006,0.011735416948795319,0.012880907393991947,0.01416925061494112,0.015962466597557068,0.019476953893899918
5,5,-16.11809565095832,-4.292559665936081,2.7191253693104045e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.011110282503068447,0.011615859344601631,0.01252743974328041,0.013810202479362488,0.015528572723269463,0.018819168210029602
6,6,-16.11809565095832,-4.273283891615615,2.2947718392174465e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.011156465858221054,0.012020839378237724,0.013692912645637989,0.015426920726895332,0.018553659319877625
7,7,-16.11809565095832,-4.34874192542395,1.757405065916373e-08,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.010905051603913307,0.012203918769955635,0.013199010863900185,0.015877405181527138
8,8,-16.11809565095832,-4.249386892549323,1.7450801692575624e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.01225653663277626,0.014072414487600327,0.016857709735631943
9,9,-16.11809565095832,-4.3923775121809205,1.2532132664944129e-08,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.011587182059884071,0.013208226300776005
10,10,-16.11809565095832,-4.362527181065001,5.881686249153972e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.012746035121381283
11,11,,,2.5685671367625673e-09,,,,,,,,,,,,,,,,,,,,,,,,
