,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-15.990587577901907,-2.9941286543744514,6.200326652106014e-07,,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,,0.03739916533231735,0.031965505331754684,0.03269652649760246,0.03619331121444702,0.04059583321213722,0.04515505209565163,0.0509820319712162,0.05959540233016014,0.06822619587182999,0.08133771270513535,0.11365445703268051
1,1,-16.118095650958317,-4.719603466673907,2.778828367411279e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007421043235808611,0.00700504332780838,0.007219487801194191,0.007716471329331398,0.008193952962756157,0.008652206510305405,0.009318034164607525,0.01008761115372181,0.011259319260716438,0.014653006568551064
2,2,-16.11809565095832,-4.49885904733229,3.184006658329963e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.009121169336140156,0.009268920868635178,0.0095367431640625,0.00984412431716919,0.010382971726357937,0.011154649779200554,0.012051226571202278,0.013562734238803387,0.017325440421700478
3,3,-16.11809565095832,-4.406181820909107,2.6967189370452616e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.009809658862650394,0.010189788416028023,0.010564994066953659,0.011039751581847668,0.011823657900094986,0.012944458983838558,0.014209061861038208,0.019376643002033234
4,4,-16.11809565095832,-4.426971228709877,1.7507122862525648e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.010120495222508907,0.010233520530164242,0.010638329200446606,0.011197639629244804,0.012107365764677525,0.013498129323124886,0.01726473681628704
5,5,-16.11809565095832,-4.460072507427035,1.0016885987340629e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.010063029825687408,0.009946201927959919,0.010514459572732449,0.011292832903563976,0.01237171608954668,0.016242843121290207
6,6,-16.11809565095832,-4.428307351948296,7.223852627191718e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.010076487436890602,0.01050757896155119,0.011149455793201923,0.012289323844015598,0.016689402982592583
7,7,-16.11809565095832,-4.511560414797842,3.313247010083842e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.01006381306797266,0.01021386869251728,0.01094017643481493,0.012930751778185368
8,8,-16.11809565095832,-4.440825762080306,2.811837429561592e-10,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.010094618424773216,0.01049733255058527,0.015450463630259037
9,9,-16.11809565095832,-4.429607410131547,6.74081068741117e-10,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.010408463887870312,0.013648907653987408
10,10,-16.11809565095832,-4.372792934144908,1.0971852315577735e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.012615855783224106
11,11,,,-3.713704010976926e-09,,,,,,,,,,,,,,,,,,,,,,,,
