,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-3.9126132012637655,2.25518121510504e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013238990679383278,0.01270329486578703,0.014176707714796066,0.015810009092092514,0.017576070502400398,0.019335530698299408,0.02099858596920967,0.02317620813846588,0.02593454346060753,0.029929814860224724,0.04204490780830383
1,1,-16.118095650958317,-4.27293709057533,9.514428711554501e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00869249738752842,0.009396559558808804,0.010286909528076649,0.011576921679079533,0.012551694177091122,0.013722831383347511,0.01532799657434225,0.017431525513529778,0.020323047414422035,0.030471213161945343
2,2,-16.11809565095832,-4.3864608599686346,4.122987107280096e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.009465903043746948,0.009567394852638245,0.010248896665871143,0.010831027291715145,0.011425425298511982,0.01241062581539154,0.013760115019977093,0.015787273645401,0.023116817697882652
3,3,-16.11809565095832,-4.180057237900537,7.591526696160145e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.010691509582102299,0.011513294652104378,0.012285426259040833,0.013252141885459423,0.01492772065103054,0.01689012162387371,0.019664783030748367,0.030181407928466797
4,4,-16.11809565095832,-4.191404246247852,5.849229367527187e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.011399229988455772,0.012008476071059704,0.012770230881869793,0.01406566146761179,0.01563100889325142,0.017832668498158455,0.02641967125236988
5,5,-16.11809565095832,-4.297270681428189,3.090433153829508e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.010690725408494473,0.011115336790680885,0.012144778855144978,0.013434825465083122,0.01532797235995531,0.021343151107430458
6,6,-16.11809565095832,-4.271554680571807,2.5986349072582016e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.010741516016423702,0.01195446029305458,0.012808004394173622,0.01434812881052494,0.022467179223895073
7,7,-16.11809565095832,-4.314460024206386,1.8464540119111916e-08,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.011106424033641815,0.01153252087533474,0.013040722347795963,0.019151458516716957
8,8,-16.11809565095832,-4.207398933374487,1.5311647061366784e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.011381852440536022,0.012694275937974453,0.022825460880994797
9,9,-16.11809565095832,-4.215380067976859,7.354234998757647e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.012040664441883564,0.01810968667268753
10,10,-16.11809565095832,-3.956143807348637,9.267526301925955e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.019136667251586914
11,11,,,4.397385122700825e-09,,,,,,,,,,,,,,,,,,,,,,,,
