,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-3.0254860553415313,5.976759211989702e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0405685193836689,0.035573799163103104,0.03971567004919052,0.04774690419435501,0.05166459456086159,0.054469458758831024,0.05622640997171402,0.05734730139374733,0.058311596512794495,0.059227440506219864,0.04104074835777283
1,1,-16.118095650958317,-4.2416703831341005,2.6822322141129007e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010753490030765533,0.010960224084556103,0.013651974499225616,0.015082098543643951,0.016087817028164864,0.016713818535208702,0.01710434816777706,0.0174344964325428,0.01773076318204403,0.01098465733230114
2,2,-16.11809565095832,-4.597285383707195,3.618211508182867e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.009892189875245094,0.009996406733989716,0.010009531863033772,0.01002286747097969,0.010064978152513504,0.01008494384586811,0.010129825212061405,0.010255984030663967,0.010260592214763165
3,3,-16.11809565095832,-4.612361311664129,2.850280012012263e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.009921963326632977,0.009855243377387524,0.009813784621655941,0.009826899506151676,0.00982717052102089,0.009860013611614704,0.00999100599437952,0.010340635664761066
4,4,-16.11809565095832,-4.605546876019429,1.6962665938535793e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.009926624596118927,0.009881173260509968,0.00989288929849863,0.009892086498439312,0.009924058802425861,0.010056647472083569,0.010410238988697529
5,5,-16.11809565095832,-4.597667438585199,1.4619225829903826e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.009950293228030205,0.00995967723429203,0.009958011098206043,0.009989224374294281,0.010121950879693031,0.01048273965716362
6,6,-16.11809565095832,-4.590686477852622,7.396546042315322e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.010006292723119259,0.010002453811466694,0.010032379999756813,0.010164286941289902,0.010533408261835575
7,7,-16.11809565095832,-4.588402758389846,4.907490858130359e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.009993506595492363,0.010020564310252666,0.010150078684091568,0.01052037999033928
8,8,-16.11809565095832,-4.582319312641542,3.902902001584607e-09,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.01002336386591196,0.010150309652090073,0.010526075959205627
9,9,-16.11809565095832,-4.575327230790281,1.3469572124336082e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.010117700323462486,0.010491341352462769
10,10,-16.11809565095832,-4.569583533238448,-2.4350796934413665e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.010362174361944199
11,11,,,-3.330706377369097e-09,,,,,,,,,,,,,,,,,,,,,,,,
