,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-8.102394203461763,0.8841664476109247,0.002921433188021183,,0.0006642341613769531,0.000492095947265625,0.00045883655548095703,0.0004520416259765625,0.00040781497955322266,0.0003647804260253906,0.0003209114074707031,0.00026547908782958984,0.00023049116134643555,0.00017899274826049805,5.537271499633789e-05,,2.1601178646087646,1.904115080833435,1.875632405281067,2.0050766468048096,2.121016025543213,2.239657163619995,2.3643805980682373,2.6170380115509033,2.879488229751587,3.227067708969116,3.9632279872894287
1,1,-9.479659688195362,0.28090363566908727,0.000482943985844031,,,0.0001271367073059082,0.00011026859283447266,0.00010502338409423828,0.00010222196578979492,9.763240814208984e-05,9.292364120483398e-05,8.100271224975586e-05,6.771087646484375e-05,5.53131103515625e-05,1.633167266845703e-05,,,0.9874658584594727,0.9776238203048706,1.0124691724777222,1.1024049520492554,1.1766014099121094,1.289254069328308,1.4510914087295532,1.5935207605361938,1.8043674230575562,2.4332504272460938
2,2,-9.330120276649659,0.3912613795775275,0.0005579340504482388,,,,0.00013267993927001953,0.00012832880020141602,0.00012308359146118164,0.0001233220100402832,0.00011646747589111328,9.840726852416992e-05,8.237361907958984e-05,6.645917892456055e-05,2.09808349609375e-05,,,,1.0448552370071411,1.1039732694625854,1.1851955652236938,1.3086910247802734,1.4170160293579102,1.558393120765686,1.7297066450119019,1.962746024131775,2.5221664905548096
3,3,-9.4582884764536,0.3766152462473115,0.00045905818114988506,,,,,0.00013011693954467773,0.00012177228927612305,0.00011366605758666992,0.0001036524772644043,8.928775787353516e-05,7.206201553344727e-05,5.9485435485839844e-05,1.9252300262451172e-05,,,,,1.1072304248809814,1.1769784688949585,1.2499043941497803,1.3356208801269531,1.4678318500518799,1.5823332071304321,1.7971227169036865,2.2406647205352783
4,4,-9.661211818182995,0.3858670054801241,0.0005465801223181188,,,,,,0.00010377168655395508,0.00010347366333007812,9.340047836303711e-05,7.95125961303711e-05,6.687641143798828e-05,5.233287811279297e-05,1.52587890625e-05,,,,,,1.0981796979904175,1.1915276050567627,1.2722500562667847,1.3944944143295288,1.543657660484314,1.7838636636734009,2.3301289081573486
5,5,-9.825328006461351,0.369663878316733,0.0003166884707752615,,,,,,,8.779764175415039e-05,8.058547973632812e-05,7.361173629760742e-05,6.008148193359375e-05,4.976987838745117e-05,1.6033649444580078e-05,,,,,,,1.133289098739624,1.1907274723052979,1.33919358253479,1.449483871459961,1.6613130569458008,2.1115267276763916
6,6,-10.066244846777337,0.3638936041452038,0.00026527600130066276,,,,,,,,6.622076034545898e-05,6.210803985595703e-05,5.2869319915771484e-05,4.470348358154297e-05,1.424551010131836e-05,,,,,,,,1.1102256774902344,1.2565988302230835,1.3791141510009766,1.5930052995681763,2.0126097202301025
7,7,-10.526705506672513,0.24763347367742353,0.00023247736680787057,,,,,,,,,4.738569259643555e-05,3.9458274841308594e-05,3.0100345611572266e-05,9.179115295410156e-06,,,,,,,,,1.11453115940094,1.2014944553375244,1.2962875366210938,1.5512009859085083
8,8,-10.850149366480506,0.2304511874477814,0.00023762726050335914,,,,,,,,,,3.2067298889160156e-05,2.6166439056396484e-05,8.702278137207031e-06,,,,,,,,,,1.0884584188461304,1.240519642829895,1.4785484075546265
9,9,-11.298676350268206,0.2809746811082927,0.00021247989207040519,,,,,,,,,,,2.1278858184814453e-05,7.212162017822266e-06,,,,,,,,,,,1.146302342414856,1.530214548110962
10,10,-12.102752456383543,0.23128001219001085,0.00010760185250546783,,,,,,,,,,,,5.543231964111328e-06,,,,,,,,,,,,1.2602120637893677
11,11,,,8.056013030000031e-05,,,,,,,,,,,,,,,,,,,,,,,,
