,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-3.676761112861013,3.050314339801763,0.2756476104259491,,0.03224372863769531,0.025600671768188477,0.028397977352142334,0.031313180923461914,0.032263100147247314,0.03171473741531372,0.030650079250335693,0.02777177095413208,0.02470940351486206,0.020783185958862305,0.008297443389892578,,15.868171691894531,13.369098663330078,14.254417419433594,15.452192306518555,17.535301208496094,19.47969627380371,21.61043930053711,24.223756790161133,27.62069320678711,31.96097755432129,50.61250305175781
1,1,-4.921122760453683,2.458597303497817,0.06013636291027069,,,0.009737610816955566,0.010494530200958252,0.011965930461883545,0.010345399379730225,0.009162724018096924,0.008245706558227539,0.007182002067565918,0.006158769130706787,0.0051392316818237305,0.001953601837158203,,,8.496217727661133,8.78332233428955,9.511496543884277,9.891434669494629,10.482986450195312,11.124622344970703,12.207332611083984,13.59127140045166,15.650806427001953,22.385765075683594
2,2,-4.463407838302927,2.75549766945492,0.06972578912973404,,,,0.0183221697807312,0.020255446434020996,0.018622159957885742,0.015329480171203613,0.013388276100158691,0.011334478855133057,0.009599030017852783,0.0077697038650512695,0.002987205982208252,,,,11.442275047302246,12.344733238220215,13.483051300048828,13.796493530273438,14.472868919372559,15.640323638916016,17.386932373046875,19.820558547973633,28.746612548828125
3,3,-4.794243698461651,2.6598394184295393,0.04675547778606415,,,,,0.015803039073944092,0.014110147953033447,0.011882901191711426,0.010268449783325195,0.008573949337005615,0.007177531719207764,0.005768954753875732,0.0022810697555541992,,,,,11.120929718017578,11.689209938049316,12.032618522644043,12.567012786865234,13.56952953338623,15.043379783630371,17.148408889770508,25.326557159423828
4,4,-4.764565793617606,2.764231508939712,0.05821676924824715,,,,,,0.016135573387145996,0.014146685600280762,0.012360632419586182,0.009935438632965088,0.008072435855865479,0.006250858306884766,0.002316415309906006,,,,,,12.856009483337402,13.087326049804688,13.706084251403809,14.601459503173828,15.927447319030762,18.066423416137695,26.130535125732422
5,5,-5.294634737247222,2.590706454625678,0.030427236109972,,,,,,,0.00966024398803711,0.008240818977355957,0.006535172462463379,0.005228877067565918,0.003990650177001953,0.0014714598655700684,,,,,,,11.158071517944336,11.351326942443848,11.954516410827637,12.969483375549316,14.48184871673584,19.809003829956055
6,6,-5.577390954879895,2.5942030377979117,0.02666383981704712,,,,,,,,0.006537497043609619,0.005516767501831055,0.004667401313781738,0.003613591194152832,0.001272737979888916,,,,,,,,11.117511749267578,11.653651237487793,12.785148620605469,14.078551292419434,18.42922019958496
7,7,-5.904296260197206,2.5310229287507644,0.022353071719408035,,,,,,,,,0.004796385765075684,0.0038703083992004395,0.002892017364501953,0.0010311603546142578,,,,,,,,,10.584150314331055,11.455587387084961,12.641336441040039,16.269372940063477
8,8,-6.153132543609075,2.8051810166000606,0.021947700530290604,,,,,,,,,,0.0032619237899780273,0.0026619434356689453,0.001107931137084961,,,,,,,,,,12.580684661865234,14.0591402053833,25.536470413208008
9,9,-6.456785324385061,2.981759993767904,0.020459039136767387,,,,,,,,,,,0.0023419857025146484,0.001052260398864746,,,,,,,,,,,14.44786548614502,26.922794342041016
10,10,-7.523687023073506,3.0328881321796826,0.010313385166227818,,,,,,,,,,,,0.0005401372909545898,,,,,,,,,,,,20.757095336914062
11,11,,,0.007974172942340374,,,,,,,,,,,,,,,,,,,,,,,,
