,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-6.619650685203205,4.107737794356581e-08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01100117526948452,0.0014499151147902012,0.004522853065282106,0.001753666321747005,0.0011776284081861377,0.0006734784692525864,0.0004580153909046203,0.0003883435856550932,0.0003911337989848107,0.0005225122440606356,0.006512930151075125
1,1,-16.118095650958317,-7.507400423312291,3.565121176052344e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008321992121636868,0.0011656631249934435,0.00046622438821941614,0.00023050337040331215,0.00017333892174065113,0.00015378966054413468,0.0001746197958709672,0.00024378289526794106,0.00033192618866451085,0.00631420873105526
2,2,-16.11809565095832,-6.722043146520356,3.474701060213192e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0064797112718224525,0.0022576814517378807,0.001503138104453683,0.0008833566680550575,0.0006188686820678413,0.00040233947220258415,0.00044154387433081865,0.0005815252079628408,0.004278895445168018
3,3,-16.11809565095832,-7.619362060178641,3.091761513474012e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0005785838002339005,0.0004224184376653284,0.0002754436864051968,0.00022907109814696014,0.0002399444638285786,0.0002801339724101126,0.00033334255567751825,0.009730822406709194
4,4,-16.11809565095832,-7.802804109904102,2.693895062577667e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00032543225097469985,0.00024920146097429097,0.0002063356660073623,0.00023684858751948923,0.00027790735475718975,0.0003555959847290069,0.004842779599130154
5,5,-16.11809565095832,-7.624074348859749,1.6023875559767475e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00035243580350652337,0.0002548301708884537,0.0002269014366902411,0.0002729459956753999,0.00033964341855607927,0.0071844495832920074
6,6,-16.11809565095832,-7.476759315015113,1.5814659803936593e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.000259914348134771,0.0003049036313313991,0.00032162145362235606,0.0002994067035615444,0.007607270032167435
7,7,-16.11809565095832,-7.109627415830748,4.342244785959792e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.00037815014366060495,0.0003934312844648957,0.00044011985301040113,0.006805778481066227
8,8,-16.11809565095832,-6.699130016747055,1.2908363267172263e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0004577313084155321,0.0005444322596304119,0.007500315085053444
9,9,-16.11809565095832,-5.989222944131296,9.10834341283362e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0006337288650684059,0.009904912672936916
10,10,-16.11809565095832,-5.421485582904031,4.704500344843154e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.004420474637299776
11,11,,,5.053705232072048e-10,,,,,,,,,,,,,,,,,,,,,,,,
