,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.046745037546927,-5.348073619570841,2.282165212363907e-08,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.007613892201334238,0.004911252297461033,0.003788166679441929,0.003402187256142497,0.0034359523560851812,0.003556126030161977,0.004170755855739117,0.004220340866595507,0.004766363184899092,0.006218612659722567,0.009192082099616528
1,1,-16.071342690837632,-5.197353114688172,3.5619617477777865e-08,,,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00752020301297307,0.005853721406310797,0.00473680067807436,0.0046036443673074245,0.004325496032834053,0.004656630102545023,0.004805091768503189,0.005321708507835865,0.006231337320059538,0.008697845973074436
2,2,-16.11809565095832,-5.220660457857367,3.324958441908166e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.006004089955240488,0.004737163428217173,0.004851515870541334,0.00448781019076705,0.004894003737717867,0.00475227041170001,0.00517844595015049,0.006278917193412781,0.008388089947402477
3,3,-16.11809565095832,-5.291228294395493,1.9196443545865804e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.004842730704694986,0.004634160548448563,0.004184086807072163,0.004383699968457222,0.004333181772381067,0.004849522840231657,0.005837372038513422,0.008186409249901772
4,4,-16.11809565095832,-5.250591953982662,1.226763668427111e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.004779688082635403,0.004366948734968901,0.004517124965786934,0.004242554306983948,0.004700570832937956,0.005970984697341919,0.009717501699924469
5,5,-16.11809565095832,-5.360164343408783,7.3475847628401425e-09,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.004937664605677128,0.004090811591595411,0.003935927525162697,0.004114070907235146,0.005426611751317978,0.006073323078453541
6,6,-16.11809565095832,-5.350874142105972,4.472758163842627e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.004792877938598394,0.004086473025381565,0.00405743345618248,0.005020497366786003,0.006021920591592789
7,7,-16.11809565095832,-5.425442970465284,1.231138524460107e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.004020744003355503,0.0039323074743151665,0.004268123302608728,0.00556941470131278
8,8,-16.11809565095832,-5.418247453862942,-4.298723044193764e-10,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0038184639997780323,0.004320577718317509,0.005286824889481068
9,9,-16.11809565095832,-5.45904664711535,1.8436810966804273e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.004014997277408838,0.00451467651873827
10,10,-16.11809565095832,-5.180626289492969,-5.211391318482583e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.005624382756650448
11,11,,,-4.6587098623263046e-09,,,,,,,,,,,,,,,,,,,,,,,,
