,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.046745037546927,-5.109837622962842,4.2564607838357915e-08,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0076005044393241405,0.006026380229741335,0.0052410513162612915,0.004960386082530022,0.004897764418274164,0.004697498865425587,0.004979759454727173,0.005384578835219145,0.006000807974487543,0.007966600358486176,0.011052515357732773
1,1,-16.03960997620579,-5.109211720381175,3.3837487478649564e-08,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00805817823857069,0.005815595854073763,0.005217083729803562,0.004967176355421543,0.004647466819733381,0.004891848191618919,0.005267906002700329,0.005701433401554823,0.007208743132650852,0.010823357850313187
2,2,-16.03088934567773,-5.008912521760301,3.7167172450836006e-08,,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.009217825718224049,0.005929603707045317,0.005394448060542345,0.004933016374707222,0.005531090311706066,0.005487450398504734,0.0060892426408827305,0.008960404433310032,0.010966443456709385
3,3,-16.11809565095832,-4.9768313458620135,3.241714807700191e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.010640419088304043,0.005927562713623047,0.004970289766788483,0.005073919892311096,0.005109973251819611,0.005676004104316235,0.008968296460807323,0.012357544153928757
4,4,-16.11809565095832,-5.071292151490101,2.8283157149644467e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.005990270525217056,0.004800691269338131,0.004982685204595327,0.0049439407885074615,0.005521608516573906,0.007963507436215878,0.012287203222513199
5,5,-16.11809565095832,-5.062496653354706,1.6571824801303592e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.006671581882983446,0.0053640021942555904,0.004953568335622549,0.005221025086939335,0.007187139242887497,0.009667715057730675
6,6,-16.11809565095832,-5.064853595785644,1.769012847319118e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.006740279961377382,0.004922536201775074,0.005052995402365923,0.006617024075239897,0.009050997905433178
7,7,-16.11809565095832,-5.227713199154714,8.226803238642333e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.005941296927630901,0.004323078319430351,0.004847542382776737,0.006657377816736698
8,8,-16.11809565095832,-4.989705736952071,1.2322445286372385e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.005878443829715252,0.005786514841020107,0.009274616837501526
9,9,-16.11809565095832,-5.085404873103493,6.568396937467469e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.005028172396123409,0.007611126638948917
10,10,-16.11809565095832,-4.598124174650229,4.687515264834019e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.01007060892879963
11,11,,,1.9290395947280103e-09,,,,,,,,,,,,,,,,,,,,,,,,
