,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-15.907513889916748,-5.249291846421541,2.6455451163087673e-08,,2.980232238769531e-07,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,,0.007305045146495104,0.004970815032720566,0.004430497530847788,0.004087889101356268,0.004033925477415323,0.004090955015271902,0.004627007059752941,0.004866315983235836,0.005479581654071808,0.007127444725483656,0.008770947344601154
1,1,-15.74237974633868,-4.895199569003786,3.9909149762706875e-08,,,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.0,,,0.007155203260481358,0.0064697302877902985,0.005803902167826891,0.005954891908913851,0.0060411738231778145,0.00682432483881712,0.007182220462709665,0.008414519019424915,0.010266750119626522,0.013438613153994083
2,2,-15.823098411808022,-4.964247731340851,3.2570824259892106e-08,,,,1.1920928955078125e-07,0.0,0.0,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.0,,,,0.00703468220308423,0.006266770418733358,0.005771940108388662,0.005652545485645533,0.006111959461122751,0.006230366416275501,0.006870154291391373,0.008630668744444847,0.01215835940092802
3,3,-16.11809565095832,-5.0969931791055,2.2125069776279815e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.005285488907247782,0.004931519273668528,0.004966180771589279,0.0053888061083853245,0.005456809885799885,0.006084342021495104,0.007671271450817585,0.011004557833075523
4,4,-16.051305707928773,-5.093622063876963,1.5599152192180554e-08,,,,,,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,,,,,,0.005471313837915659,0.005010038614273071,0.0054307435639202595,0.005535443779081106,0.005916397087275982,0.007182506378740072,0.009348631836473942
5,5,-15.8843308503549,-5.097638265202084,7.534270984876912e-09,,,,,,,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,,,,,,,0.005240618716925383,0.005054187960922718,0.005242766346782446,0.005768523085862398,0.007082200609147549,0.009180622175335884
6,6,-16.02458973071695,-5.092542812946475,6.371227101453769e-09,,,,,,,,0.0,0.0,0.0,5.960464477539063e-08,0.0,,,,,,,,0.00549969170242548,0.0050236196257174015,0.005343962926417589,0.006409347988665104,0.009238793514668941
7,7,-16.11809565095832,-5.2344705860316,3.1655391641294273e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0048027485609054565,0.004918149206787348,0.005286877043545246,0.00646055256947875
8,8,-15.962252450556042,-5.126060278650616,-7.132824886291189e-10,,,,,,,,,,0.0,5.960464477539063e-08,0.0,,,,,,,,,,0.004819463938474655,0.005983282811939716,0.007267422508448362
9,9,-16.11809565095832,-5.172583216828763,4.0737793693956803e-10,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.005102858413010836,0.0062997364439070225
10,10,-16.11809565095832,-5.045270988134062,-2.12971928981176e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.006439615041017532
11,11,,,9.127892330873522e-10,,,,,,,,,,,,,,,,,,,,,,,,
