,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-8.038741411940068,-0.49389787415388114,0.00046930325333960354,,0.004755139350891113,0.0017313361167907715,0.001299142837524414,0.0004513263702392578,0.00038820505142211914,0.00027424097061157227,0.0001875162124633789,0.0001704692840576172,0.00010603666305541992,1.627206802368164e-05,0.00013947486877441406,,0.9376881122589111,0.6323007345199585,0.5744227766990662,0.4745464026927948,0.4942966401576996,0.47090810537338257,0.5134669542312622,0.5252118706703186,0.5638729929924011,0.6700090169906616,1.1402666568756104
1,1,-7.8859609924499905,-0.30930952103499926,0.00040674247429706156,,,0.0038420557975769043,0.0017528533935546875,0.0007742047309875488,0.0005606412887573242,0.0004121065139770508,0.0002636909484863281,0.00025391578674316406,0.00015920400619506836,2.6464462280273438e-05,0.00016611814498901367,,,0.9848698973655701,0.7153463959693909,0.6334502100944519,0.6073236465454102,0.5778896808624268,0.6106266975402832,0.6402407288551331,0.6862021684646606,0.8999536037445068,1.1995590925216675
2,2,-8.361150418479635,-0.4488224040036498,0.00043920529424212873,,,,0.0038178563117980957,0.0005834102630615234,0.00040781497955322266,0.0002891421318054199,0.0001875162124633789,0.000179290771484375,0.00011813640594482422,1.8477439880371094e-05,0.00010818243026733398,,,,1.0098106861114502,0.5527669191360474,0.5293808579444885,0.4893796443939209,0.5213257074356079,0.5356628894805908,0.6091096997261047,0.745408296585083,0.9603368043899536
3,3,-8.627772232485643,-0.4361821090416057,0.00036001225817017257,,,,,0.0013085007667541504,0.0005213618278503418,0.0003052949905395508,0.00018346309661865234,0.00017255544662475586,0.00010591745376586914,1.537799835205078e-05,9.840726852416992e-05,,,,,0.839096188545227,0.5817351341247559,0.5069940090179443,0.5306856632232666,0.5291489958763123,0.5795525908470154,0.6942107081413269,1.0914623737335205
4,4,-9.244851632903847,-0.6547991473174698,0.0003243561659473926,,,,,,0.0009016990661621094,0.00024640560150146484,0.00011980533599853516,0.0001055002212524414,6.0498714447021484e-05,8.761882781982422e-06,5.27501106262207e-05,,,,,,0.8160991668701172,0.45703116059303284,0.4235311448574066,0.41979795694351196,0.4373845160007477,0.5353525280952454,0.6580406427383423
5,5,-9.586743373661966,-0.7142948082264272,0.0002236421569250524,,,,,,,0.0003305673599243164,0.00013935565948486328,0.00010627508163452148,5.739927291870117e-05,7.808208465576172e-06,4.762411117553711e-05,,,,,,,0.527319073677063,0.4761923551559448,0.429957777261734,0.42899632453918457,0.4800768792629242,0.6189679503440857
6,6,-9.49158627253017,-0.48827278885935615,0.00021424565056804568,,,,,,,,0.0003203153610229492,0.0001621246337890625,8.058547973632812e-05,1.0013580322265625e-05,5.84721565246582e-05,,,,,,,,0.792969822883606,0.5537380576133728,0.5029222965240479,0.5503163933753967,0.7162336707115173
7,7,-10.135010148422676,-0.6566708177010376,0.00012333985068835318,,,,,,,,,0.0001436471939086914,5.626678466796875e-05,7.808208465576172e-06,3.921985626220703e-05,,,,,,,,,0.5060216188430786,0.435199111700058,0.5468950867652893,0.6004610657691956
8,8,-10.676605403771276,-0.5996264278712892,0.0001781580940587446,,,,,,,,,,7.146596908569336e-05,5.781650543212891e-06,2.9742717742919922e-05,,,,,,,,,,0.6881750226020813,0.4542611539363861,0.5293612480163574
9,9,-10.765202568250663,-0.38682208309059574,0.00011845893459394574,,,,,,,,,,,1.0251998901367188e-05,4.3511390686035156e-05,,,,,,,,,,,0.6174662113189697,0.7471321225166321
10,10,-9.386305352290202,-0.14829882313734885,0.00012545660138130188,,,,,,,,,,,,8.386373519897461e-05,,,,,,,,,,,,0.8621734380722046
11,11,,,9.358950046589598e-05,,,,,,,,,,,,,,,,,,,,,,,,
