,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-10.447780062762696,0.6951486296209818,0.06364788860082626,,4.035234451293945e-05,1.1920928955078125e-07,9.268522262573242e-05,6.258487701416016e-06,2.1457672119140625e-06,5.841255187988281e-06,1.8656253814697266e-05,7.021427154541016e-05,0.0003293752670288086,0.0008744001388549805,0.0009282231330871582,,12.369112968444824,2.3629744052886963,7.6386213302612305,2.790642499923706,1.816328763961792,1.1197624206542969,0.7131136655807495,0.6154744029045105,0.5219321250915527,0.7621341943740845,9.46324348449707
1,1,-11.440084473123,-0.7968974411803377,0.0358196385204792,,,1.0728836059570312e-06,7.748603820800781e-07,8.940696716308594e-07,2.2649765014648438e-06,5.4836273193359375e-06,1.0967254638671875e-05,3.361701965332031e-05,0.00015246868133544922,0.00015437602996826172,0.00025850534439086914,,,8.569908142089844,0.2165030539035797,0.20199061930179596,0.22873887419700623,0.20143920183181763,0.17235876619815826,0.18860529363155365,0.26196932792663574,0.31540730595588684,7.4602532386779785
2,2,-10.590202503580436,-0.4450698717546189,0.05302692577242851,,,,1.4960765838623047e-05,1.8477439880371094e-06,2.86102294921875e-06,6.735324859619141e-06,1.52587890625e-05,4.851818084716797e-05,0.0001697540283203125,0.00018262863159179688,0.0003305673599243164,,,,2.8101282119750977,0.8334242105484009,0.5520946383476257,0.3570142090320587,0.2801593244075775,0.23314718902111053,0.2967000901699066,0.3429943323135376,5.935349941253662
3,3,-10.11764574718202,-0.14757556833307384,0.039882391691207886,,,,,3.039836883544922e-06,3.814697265625e-06,8.52346420288086e-06,1.8656253814697266e-05,5.793571472167969e-05,0.0002524256706237793,0.000544130802154541,0.0004798769950866699,,,,,1.480514645576477,0.9382527470588684,0.5438099503517151,0.42611443996429443,0.35760214924812317,0.37603291869163513,0.5924464464187622,11.975369453430176
4,4,-9.84175682861755,-0.7569770743190113,0.03709665313363075,,,,,,5.841255187988281e-06,1.1026859283447266e-05,1.9848346710205078e-05,5.418062210083008e-05,0.0001970529556274414,0.00024580955505371094,0.0003587007522583008,,,,,,0.3659920394420624,0.3372000455856323,0.25265106558799744,0.24061627686023712,0.30251073837280273,0.408947229385376,5.38430643081665
5,5,-9.676769833249852,-0.8200250497186364,0.028936926275491714,,,,,,,9.47713851928711e-06,1.8656253814697266e-05,4.684925079345703e-05,0.0001647472381591797,0.00017893314361572266,0.0002493858337402344,,,,,,,0.26686185598373413,0.2232923060655594,0.22495712339878082,0.2707139551639557,0.3399677276611328,5.915582656860352
6,6,-8.932568432312678,-0.527669257902473,0.020858019590377808,,,,,,,,2.199411392211914e-05,5.555152893066406e-05,0.0002073049545288086,0.0001913905143737793,0.0008272528648376465,,,,,,,,0.25287100672721863,0.2595040500164032,0.3209737241268158,0.35454803705215454,9.571786880493164
7,7,-8.725963601814824,-0.43814307593171115,0.01836039498448372,,,,,,,,,5.8710575103759766e-05,0.00023406744003295898,0.00023192167282104492,0.00021779537200927734,,,,,,,,,0.29115962982177734,0.34446486830711365,0.3866358995437622,4.469811916351318
8,8,-7.749436346055904,0.1515359875250466,0.014871105551719666,,,,,,,,,,0.0003597736358642578,0.00030624866485595703,0.0007265806198120117,,,,,,,,,,0.43531855940818787,0.44763314723968506,8.08545207977295
9,9,-7.631957006348699,0.7206801801285309,0.011307302862405777,,,,,,,,,,,0.0005548596382141113,0.000423431396484375,,,,,,,,,,,0.6077244281768799,6.954535961151123
10,10,-7.432216407444639,1.9629152101459864,0.010768809355795383,,,,,,,,,,,,0.0005918741226196289,,,,,,,,,,,,7.120053291320801
11,11,,,0.006161983590573072,,,,,,,,,,,,,,,,,,,,,,,,
