,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-3.669226660473811,1.7625621373620186,0.033323582261800766,,0.12068527936935425,0.057257890701293945,0.03655433654785156,0.0323641300201416,0.02630847692489624,0.021615803241729736,0.013806581497192383,0.022584140300750732,0.014172255992889404,0.0040315985679626465,0.035732269287109375,,6.849192142486572,5.172306060791016,4.481142520904541,4.306152820587158,4.37345552444458,4.467545986175537,5.031499862670898,5.245896816253662,6.604940414428711,7.1150054931640625,15.882697105407715
1,1,-3.6105262048561237,1.8699871116481606,0.04779165983200073,,,0.10504746437072754,0.07216614484786987,0.05302572250366211,0.03839564323425293,0.028736889362335205,0.01668262481689453,0.029638290405273438,0.013965785503387451,0.0043683648109436035,0.015604674816131592,,,7.933933258056641,6.291745662689209,5.184887409210205,5.333770751953125,5.022670269012451,5.5495476722717285,5.965921878814697,6.420980930328369,8.02837085723877,11.1716890335083
2,2,-3.8184046426819873,1.8668421621141884,0.03141482546925545,,,,0.0735439658164978,0.047932207584381104,0.035516321659088135,0.025932013988494873,0.015951156616210938,0.026861846446990967,0.013109683990478516,0.004321277141571045,0.015087604522705078,,,,6.468624114990234,5.074244976043701,5.316033363342285,5.012461185455322,5.479553699493408,5.9886908531188965,6.643404483795166,8.545687675476074,12.156159400939941
3,3,-3.94987259941826,1.829151619424709,0.025694051757454872,,,,,0.04541999101638794,0.04033684730529785,0.025326073169708252,0.015595972537994385,0.02213430404663086,0.011811435222625732,0.004687845706939697,0.021323859691619873,,,,,5.098400115966797,5.484107494354248,4.710592746734619,5.532166004180908,5.413204193115234,6.119635105133057,8.049826622009277,11.65860366821289
4,4,-4.210334447194074,1.8406394404611228,0.01788051426410675,,,,,,0.045973777770996094,0.02597707509994507,0.01498478651046753,0.021446049213409424,0.01156383752822876,0.0033392906188964844,0.010702133178710938,,,,,,5.9215240478515625,4.822818279266357,5.389524936676025,5.400102138519287,6.168510437011719,7.452264308929443,10.315765380859375
5,5,-4.478181124349053,1.7628047801297022,0.014112734235823154,,,,,,,0.03293997049331665,0.012891113758087158,0.020246922969818115,0.0096854567527771,0.003234684467315674,0.007953882217407227,,,,,,,5.322385787963867,4.97503137588501,5.273433208465576,5.420711994171143,6.90310525894165,7.50519323348999
6,6,-4.744659345019464,1.7394814352213508,0.012831362895667553,,,,,,,,0.014894187450408936,0.01671534776687622,0.008088886737823486,0.0027324557304382324,0.009047508239746094,,,,,,,,5.361226558685303,4.8174214363098145,5.133106231689453,6.424507141113281,7.029704570770264
7,7,-5.220559499699977,1.7950079546153908,0.011211066506803036,,,,,,,,,0.015560448169708252,0.007673442363739014,0.0019588470458984375,0.0036470890045166016,,,,,,,,,4.649807929992676,5.04168701171875,6.0811028480529785,9.209900856018066
8,8,-5.425942706658749,1.7481471745663846,0.007203222252428532,,,,,,,,,,0.008054733276367188,0.0018483996391296387,0.005725085735321045,,,,,,,,,,5.230299472808838,5.449486255645752,6.648901462554932
9,9,-5.586807999349205,1.8650794721358122,0.005520731210708618,,,,,,,,,,,0.0027171969413757324,0.0051670074462890625,,,,,,,,,,,6.656336307525635,6.262564182281494
10,10,-5.718463981809471,1.7057019184198132,0.004366930108517408,,,,,,,,,,,,0.003284752368927002,,,,,,,,,,,,5.505248546600342
11,11,,,0.0034185515251010656,,,,,,,,,,,,,,,,,,,,,,,,
