,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-3.975436859085191,1.5345757224449363,0.0333196222782135,,0.15109914541244507,0.07032620906829834,0.04137730598449707,0.026126563549041748,0.023011326789855957,0.015234768390655518,0.010687470436096191,0.010996580123901367,0.010396301746368408,0.0021044015884399414,0.00984567403793335,,6.972879409790039,4.8661208152771,3.7869315147399902,3.354475975036621,3.486480951309204,3.5353846549987793,3.9433627128601074,4.115341663360596,4.666135311126709,6.126478672027588,8.694876670837402
1,1,-3.758525231614608,1.722036359363699,0.04250263422727585,,,0.13425177335739136,0.08818137645721436,0.046964049339294434,0.037123918533325195,0.02274012565612793,0.015365183353424072,0.015196144580841064,0.014028728008270264,0.0027253031730651855,0.011342763900756836,,,7.256541728973389,5.47679328918457,4.478906631469727,4.443001747131348,4.369950771331787,4.776695728302002,4.868645191192627,5.422323703765869,7.20485258102417,9.589181900024414
2,2,-3.8995184242413337,1.728188303865698,0.03702084720134735,,,,0.1000857949256897,0.061167359352111816,0.04277348518371582,0.02475607395172119,0.016041278839111328,0.015249371528625488,0.01329350471496582,0.0025069713592529297,0.010842204093933105,,,,6.204607963562012,5.013449192047119,4.737989902496338,4.585641384124756,4.896474838256836,4.8994059562683105,5.356413841247559,6.904031276702881,9.484944343566895
3,3,-4.2908226926930375,1.6307722524399189,0.02667735517024994,,,,,0.05461585521697998,0.041395485401153564,0.02158522605895996,0.01328366994857788,0.012238621711730957,0.01043468713760376,0.0019412636756896973,0.007693290710449219,,,,,5.023021697998047,4.643651485443115,4.265987396240234,4.479808807373047,4.416500091552734,4.7818427085876465,6.0515899658203125,8.132730484008789
4,4,-4.540766725794937,1.6098886452596923,0.019402913749217987,,,,,,0.04591989517211914,0.023061811923980713,0.012486934661865234,0.011308789253234863,0.009374499320983887,0.001683652400970459,0.006650030612945557,,,,,,5.0741400718688965,4.408766269683838,4.387449741363525,4.26886510848999,4.504781723022461,5.531935214996338,7.50594425201416
5,5,-4.879932457018484,1.5747926847530602,0.014819023199379444,,,,,,,0.02402287721633911,0.012531101703643799,0.010380387306213379,0.008198261260986328,0.001402735710144043,0.005351901054382324,,,,,,,4.6292524337768555,4.39396858215332,4.098360061645508,4.216846942901611,5.1443634033203125,7.018515110015869
6,6,-5.1750511796612795,1.5525626438365434,0.01225501298904419,,,,,,,,0.013099431991577148,0.010410070419311523,0.007620871067047119,0.0012526512145996094,0.004446089267730713,,,,,,,,4.565310478210449,4.09690523147583,4.065020561218262,4.8148298263549805,6.423578262329102
7,7,-5.448047001050179,1.5353370068976195,0.009732961654663086,,,,,,,,,0.01045304536819458,0.00716710090637207,0.0011292695999145508,0.004058718681335449,,,,,,,,,4.143614768981934,3.9452309608459473,4.6013641357421875,6.177534103393555
8,8,-5.794050990765366,1.5491867767333474,0.007310112006962299,,,,,,,,,,0.007264375686645508,0.001070857048034668,0.003631591796875,,,,,,,,,,4.0080246925354,4.556575298309326,5.712692737579346
9,9,-6.270400481054043,1.6188474645083242,0.005442786496132612,,,,,,,,,,,0.0010555386543273926,0.003389418125152588,,,,,,,,,,,4.6198201179504395,5.5142693519592285
10,10,-5.601836903552337,1.7696844169370043,0.004172101616859436,,,,,,,,,,,,0.00369107723236084,,,,,,,,,,,,5.8690009117126465
11,11,,,0.003237485885620117,,,,,,,,,,,,,,,,,,,,,,,,
