,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the, the, Vol, the, a, the, a, a, a, the, a, the
1,bread and, the, the, Vol, the, other, other, other, a, cheese, the, a, other
2,salt and, the, pepper, False, the, black, salt, salt, a, a, salt, the, sodium
3,thunder and, the, the,�, the, the, the, the, the, the, the, the, the
4,social media,.,),-,.,"""",",",",",",",",",., the,.
5,credit card,),),-,.,",",",",),),),), a,)
6,climate change,.,),Energy,.,",",",",.,",",",",., the,.
7,artifical intelligence,.,),-,.,.,.,.,.,.,.,"""", is
8,global warming,.,),Energy,.,"""",.,.,.,.,., the,.
9,state of, the,), Vol, the, the, the, the, the, the, the, the, the
10,fast food,",",), and,., and, and,",",",", and,., the,.
11,rising sea,",",),-, level, of, of,",",-,-,., the,.
12,University of, the,), Vol, California, California, California, California, California, California, California, the, California
13,We will, be, be, To, not, be, not, be, be, be, be, the, have
14,Do you,., can,4, want, think, have, think, think, think, know, the, have
15,When you,., can,�,'re,'re,'re,'re,'re,'re,'re, a,'re
16,did not, be, to,4, have, have, have, have, have, have, have, the, have
17,You can, be, see,�,'t,'t, also,'t,'t, see, also, the,'t
18,You may, be, be,"
", not, be, have, be, be, also, have, not, have
19,He was, a, a,4, a, a, a, a, a, a, a, a, talking
20,If you,., can,We, are,'re, are,'re,'re,'re, have, a,'re
21,when they, are, are,HS, are, are, are,'re,'re,'re, were, the,'re
22,be in, the, the, Vol, the, the, the, the, the, the, the, the, the
23,the end, the,),End, of, of, of, of, of, of, of, the, of
24,the past,., few,HS,",", few, few, few,",", few,",", a, few
25,each other,.,),�,.,),",",),",",),., the,)
26,and there,",", are,HS, are, are,'s, are,'s,'s,'s,'s, are
27,on all, the, of,-, the, the, the, the, the, the, the, the, the
28,the form,., of, Demand, of, of, of, of, of, of, of, the, of
29,in all, of, of,-,",", the,",", the,",", the,",", the,.
30,years ago,.,),�,.,.,",",.,",",.,., the,.
31,for example,.,),-,",",",",",",",",",",",",",", the,","
32,to top, the,), Top, off, of, of, of, it,-, of, the, of
33,and on, the, the,-, the, the, the, the, the, the, the, the, the
34,as well,",", known,-, as, as, as, as, as, as, as, the, as
35,to all, the, of,-,",", of, the, the, the, the,., the,.
36,as possible,.,),�,.,.,.,.,.,.,., to,.
37,a member, of,),-, of, of, of, of, of, of, of, to, of
38,more info,.,),�,., about, on,), on,),:, to,)
