,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-0.8337000860554823,3.22303274141823,1.2808808088302612,,0.7454262971878052,0.7719003707170486,0.7791584730148315,0.52370885014534,0.5531739592552185,0.49340319633483887,0.36163395643234253,0.39060014486312866,0.39567822217941284,0.09703552722930908,0.29936105012893677,,22.53095817565918,21.265886306762695,20.684268951416016,17.344934463500977,19.27073860168457,20.847137451171875,22.767959594726562,24.88966178894043,29.41982078552246,40.537269592285156,53.47370529174805
1,1,-1.353011032087617,3.0160919183047765,1.1428234577178955,,,0.4238719940185547,0.3648926615715027,0.3046478033065796,0.39147961139678955,0.25306999683380127,0.21975773572921753,0.22164565324783325,0.22591841220855713,0.07961207628250122,0.32528650760650635,,,15.57936954498291,12.87885570526123,13.496683120727539,15.367392539978027,15.436320304870605,18.55560874938965,20.522449493408203,25.273698806762695,38.49201202392578,52.744693756103516
2,2,-0.42776553142343393,3.854734503527994,3.448072910308838,,,,0.5182865560054779,0.6638885140419006,0.7490910589694977,0.732303112745285,0.862491637468338,0.6750048100948334,0.6377454400062561,0.22609871625900269,1.3431245684623718,,,,27.563493728637695,29.93173599243164,28.518491744995117,35.471153259277344,40.38019561767578,40.933815002441406,49.01811981201172,64.93492889404297,265.6168518066406
3,3,-2.631167763986695,2.50076958218449,0.1535714864730835,,,,,0.14565736055374146,0.1311367154121399,0.08888530731201172,0.06736117601394653,0.06482189893722534,0.06382495164871216,0.019111216068267822,0.07981598377227783,,,,,9.60304069519043,9.211576461791992,8.877544403076172,10.515816688537598,10.8111572265625,13.035027503967285,17.71627426147461,23.67708969116211
4,4,-2.793880790549906,2.5462227424239923,0.134505495429039,,,,,,0.1606927514076233,0.11855781078338623,0.05956083536148071,0.061306536197662354,0.05841594934463501,0.01412898302078247,0.05589777231216431,,,,,,11.762269973754883,10.321839332580566,9.855897903442383,11.663233757019043,12.527190208435059,15.543660163879395,20.253637313842773
5,5,-3.0962875211262397,2.494777568387304,0.08109061419963837,,,,,,,0.11329507827758789,0.07974213361740112,0.05108755826950073,0.043944716453552246,0.010054588317871094,0.04190939664840698,,,,,,,11.842218399047852,11.039094924926758,9.965377807617188,10.780570030212402,12.760869026184082,17.677730560302734
6,6,-2.878703236074787,2.709269874666721,0.08293596655130386,,,,,,,,0.1002623438835144,0.06787842512130737,0.051410794258117676,0.011371910572052002,0.14099961519241333,,,,,,,,12.440520286560059,11.75475025177002,12.228628158569336,14.399628639221191,29.670427322387695
7,7,-3.1980653399064978,2.662766543548698,0.07929974049329758,,,,,,,,,0.1135854721069336,0.060149967670440674,0.012392699718475342,0.032859981060028076,,,,,,,,,14.382573127746582,12.416291236877441,14.050694465637207,16.833444595336914
8,8,-3.2308375924121706,2.8575519841482016,0.1637657731771469,,,,,,,,,,0.08445024490356445,0.016882240772247314,0.043307602405548096,,,,,,,,,,16.038660049438477,17.574872970581055,18.74981117248535
9,9,-3.3448365988791986,3.192525542021765,0.12607984244823456,,,,,,,,,,,0.02072817087173462,0.059999942779541016,,,,,,,,,,,22.998205184936523,25.780925750732422
10,10,-1.6754904190935156,4.120194993742027,1.4319113492965698,,,,,,,,,,,,0.18721634149551392,,,,,,,,,,,,61.57124710083008
11,11,,,0.5243507623672485,,,,,,,,,,,,,,,,,,,,,,,,
