,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-5.344328482339487,2.9706312132265627,0.6960351467132568,,0.0052869319915771484,5.632638931274414e-05,0.019275307655334473,0.0008144378662109375,0.0005439519882202148,0.0013445019721984863,0.0028458833694458008,0.010080575942993164,0.037548065185546875,0.04983037710189819,0.16038846969604492,,105.04706573486328,40.60279846191406,70.65380096435547,26.117340087890625,17.260967254638672,10.732183456420898,6.942266464233398,5.098729610443115,4.342849254608154,5.935853481292725,116.79853820800781
1,1,-3.7562740781284516,3.68282993776535,1.1081253290176392,,,0.00041931867599487305,0.005484580993652344,0.0031509995460510254,0.005078136920928955,0.012193143367767334,0.02382206916809082,0.06678652763366699,0.18302685022354126,0.24351388216018677,1.5277228951454163,,,484.6445617675781,71.98841857910156,33.623382568359375,18.369342803955078,14.079018592834473,11.689228057861328,11.443255424499512,13.14716911315918,18.528308868408203,998.4592895507812
2,2,-1.7498408615132903,4.380299098479636,2.711139678955078,,,,0.026537001132965088,0.029480278491973877,0.054570913314819336,0.1297544240951538,0.18704712390899658,0.2668302059173584,0.5669963955879211,0.6118407547473907,1.508732795715332,,,,169.12887573242188,48.31752395629883,46.499664306640625,45.366573333740234,38.17281723022461,47.49604797363281,55.79558563232422,79.10554504394531,957.923583984375
3,3,-4.615808337196951,1.9515753245540732,0.15328647196292877,,,,,0.00040090084075927734,0.0008892416954040527,0.0021138787269592285,0.0053858160972595215,0.014650702476501465,0.04587644338607788,0.06913584470748901,0.48696476221084595,,,,,4.531357288360596,4.323825836181641,3.8408820629119873,3.7846882343292236,3.9293437004089355,4.63095235824585,6.653939247131348,174.92037963867188
4,4,-4.646446891062196,1.8203231549675374,0.1106339544057846,,,,,,0.0005620121955871582,0.0017341971397399902,0.0030127763748168945,0.010429859161376953,0.029190123081207275,0.03378641605377197,0.24799758195877075,,,,,,3.830749273300171,3.912278175354004,2.8692328929901123,3.357696771621704,3.655435562133789,4.824517250061035,134.2704315185547
5,5,-5.006846803808455,1.4873426474908917,0.06637244671583176,,,,,,,0.0006533265113830566,0.0012618303298950195,0.003973066806793213,0.012563586235046387,0.01718693971633911,0.12698543071746826,,,,,,,2.2950146198272705,1.834317922592163,2.078540802001953,2.377501964569092,3.368380546569824,107.17847442626953
6,6,-5.8000131773424375,1.0516826832023924,0.04494348168373108,,,,,,,,0.0005394816398620605,0.0014420151710510254,0.005913496017456055,0.005347549915313721,0.010339140892028809,,,,,,,,1.2468937635421753,1.252819299697876,1.629838228225708,1.9047157764434814,39.628475189208984
7,7,-6.380911980639235,0.7275915060702127,0.06290028989315033,,,,,,,,,0.0005505681037902832,0.0018497109413146973,0.0021649599075317383,0.003731250762939453,,,,,,,,,0.7727585434913635,0.9480299949645996,1.2180911302566528,20.57833480834961
8,8,-7.05191134119698,0.49751828770834555,0.0648910403251648,,,,,,,,,,0.0006966590881347656,0.0009188652038574219,0.0010136961936950684,,,,,,,,,,0.5638670325279236,0.771700382232666,10.22310733795166
9,9,-7.961806838440989,0.4645616145050913,0.08126658946275711,,,,,,,,,,,0.00030285120010375977,0.0004010796546936035,,,,,,,,,,,0.4416559636592865,5.733621120452881
10,10,-5.923294343629868,2.7166722867227944,0.432100772857666,,,,,,,,,,,,0.00267636775970459,,,,,,,,,,,,15.129890441894531
11,11,,,0.14051327109336853,,,,,,,,,,,,,,,,,,,,,,,,
