,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-1.3348646150121228,2.937416153311247,0.7001456618309021,,0.6423285603523254,0.5308065712451935,0.48717010021209717,0.3934270143508911,0.3553219437599182,0.27496737241744995,0.20944684743881226,0.21899276971817017,0.20262962579727173,0.05066823959350586,0.13962024450302124,,21.537673950195312,15.404401779174805,14.661173820495605,14.357635498046875,14.780527114868164,14.643691062927246,17.93704605102539,19.109617233276367,22.118423461914062,28.94537353515625,32.506324768066406
1,1,-1.2763336398464635,3.0496373985853515,1.1835907697677612,,,0.4334544539451599,0.41105735301971436,0.3584780693054199,0.3402772545814514,0.29739707708358765,0.2505430579185486,0.3049367666244507,0.2719639539718628,0.09272259473800659,0.22997796535491943,,,15.964354515075684,14.724372863769531,15.190017700195312,14.948076248168945,16.388065338134766,19.654897689819336,22.15250015258789,27.070337295532227,36.112159729003906,47.15272903442383
2,2,-0.464187933191308,3.8399323967444965,3.612946033477783,,,,0.47457754611968994,0.651521235704422,0.7631806135177612,0.8426148593425751,0.8400511294603348,0.8399907797574997,0.7300892770290375,0.29753726720809937,0.5031087696552277,,,,21.345287322998047,27.45654296875,29.884227752685547,35.576358795166016,40.85432815551758,43.66356658935547,52.39925765991211,74.37760162353516,235.6552276611328
3,3,-2.8006126096477137,2.420152549768595,0.12889836728572845,,,,,0.12942034006118774,0.11096101999282837,0.07959407567977905,0.06028646230697632,0.06141871213912964,0.06148254871368408,0.01526099443435669,0.0468561053276062,,,,,8.989992141723633,8.509927749633789,8.361847877502441,9.736689567565918,10.771909713745117,12.181198120117188,16.199724197387695,19.34559440612793
4,4,-2.924919169146871,2.4601752428771753,0.10398314893245697,,,,,,0.11159324645996094,0.08141219615936279,0.05744296312332153,0.05938851833343506,0.05949896574020386,0.014355778694152832,0.048446595668792725,,,,,,8.63691234588623,8.389861106872559,9.72266674041748,10.16224193572998,12.276225090026855,16.23710060119629,21.116512298583984
5,5,-3.199177373470011,2.4267225072309726,0.06466028094291687,,,,,,,0.0919763445854187,0.057256996631622314,0.046858131885528564,0.04107564687728882,0.009579718112945557,0.04747474193572998,,,,,,,9.22352409362793,9.32608699798584,9.431951522827148,10.198107719421387,12.577620506286621,20.23751449584961
6,6,-3.3002613388293653,2.5035259344886605,0.05062398314476013,,,,,,,,0.08481121063232422,0.05748695135116577,0.04461824893951416,0.009246468544006348,0.0338892936706543,,,,,,,,11.235455513000488,10.252028465270996,11.052165031433105,13.456583976745605,15.9424409866333
7,7,-3.192039779851084,2.784402392489449,0.06827931851148605,,,,,,,,,0.08318787813186646,0.06166207790374756,0.01495450735092163,0.03715425729751587,,,,,,,,,13.438944816589355,13.48426342010498,17.247793197631836,21.982467651367188
8,8,-3.2525897856044437,2.859132708991194,0.06419169902801514,,,,,,,,,,0.0699915885925293,0.014020740985870361,0.058943748474121094,,,,,,,,,,15.121496200561523,15.783045768737793,22.25005531311035
9,9,-3.291539691383062,3.1499955997895004,0.0786273404955864,,,,,,,,,,,0.02248162031173706,0.061542809009552,,,,,,,,,,,20.534061431884766,26.520185470581055
10,10,-1.389443096572451,4.450163414224064,0.46054375171661377,,,,,,,,,,,,0.2492140531539917,,,,,,,,,,,,85.64093780517578
11,11,,,0.14562036097049713,,,,,,,,,,,,,,,,,,,,,,,,
