,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, a, the, he, the, the, a, the, a, the, the, the, the
1,bread and, a, the, he, other, sugar, butter, other, other, the, other, the, butter
2,salt and, the, a, he, salt, other, salt, the, salt, salt, salt, water, salt
3,thunder and, the, the, he, the, the, the, the, the, the, the, the, the
4,social media,",", and,"
",",",",",.,",","""",",",",",.,","
5,credit card,., and, or,),),),),),),),",",)
6,climate change,., and, or,",",.,.,.,.,.,.,.,.
7,artifical intelligence,., and, of,",",.,.,.,.,.,.,.,.
8,global warming,.,', he,.,.,.,.,.,.,.,.,.
9,state of, the, the, the, the, the, the, the, the, the, the, the, the
10,fast food,., and, and, and,",", and,",", and,",",",",",",","
11,rising sea,",",-, and, ice, of,.,., of, of, of, of, of
12,University of, the, the, the, California, Texas, Chicago, California, California, California, California, California, Michigan
13,We will, be, be,"
", be, be, not, not, be, be, continue, be, be
14,Do you, know, are, or, have, think, have, have, have, think, have, have, think
15,When you,'re, are, or,'re,'re,'re,'re,'re,'re,'re, are, get
16,did not, to, be, or, have, have, have, have, have, have, have, have, know
17,You can,'t, read, try,'t,'t, also, also, also, also, also,'t, get
18,You may, be, be, or, have, have, also, have, also, have, have, have, also
19,He was, a, the, he, a, a, a, a, a, a, a, a, also
20,If you, can, are, or, are,'re,'re,'re,'re, are, want, are, are
21,when they, were, are,"
", are,'re, are,'re,'re, are, are, are, get
22,be in, the, the, the, the, the, the, the, the, the, the, the, the
23,the end, of, of,"
", of, of, of, of, of, of, of, of, of
24,the past, few, few, or,",", few, few,",", few, few, few,",",","
25,each other,.,",", he,'s,",",.,),),",",), in,","
26,and there, was, is,.,'s,'s,'s,'s,'s,'s,'s, is,'s
27,on all, the, the, he, the, the, the, the, the, the, the, the, the
28,the form, of, of, and, of, of, of, of, of, of, of, of, of
29,in all, the, the, he, the, the, the, the, the, the, the, the,","
30,years ago,., than, he,.,",",.,.,.,.,.,.,.
31,for example,",",",", he,",",",",",",",",",",",",",",",",","
32,to top, of, the,-, of, of, of, of, of, of, it, of, of
33,and on, the, the, the, the, the, the, the, the, the, the, the, the
34,as well, as,",", he, as, as, as, as, as, as, as, as, as
35,to all,., the, the, the, the, the, the, the, the, the, of, the
36,as possible,., than, or,.,.,.,.,.,.,.,.,.
37,a member, of, of, of, of, of, of, of, of, of, of, of, of
38,more info,., and,"
",],:,"
",),],:, on,"
", on
