,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the, the,",", the, the, the, the, the, the, the, the, the
1,bread and, the, a, The, cheese, other, a, other, other, a, other, butter, other
2,salt and, the, the, the, salt, the, the, salt, salt, salt, salt, to, a
3,thunder and, the, the, the, the, the, the, the, the, the, the, the, the
4,social media,),",", and,",","""","""",.,"""",",","""", and,.
5,credit card,holders,.,",",",",),),),),),),), information
6,climate change,.,",","
",",",.,.,",",",",",",.,",",","
7,artifical intelligence,., of,",",.,.,.,.,.,.,.,.,","
8,global warming,., is,.,.,.,.,.,.,.,.,., is
9,state of, the, the, of, the, the, the, the, the, the, the, the, the
10,fast food,.,",", and, and,",",",",",",",",",",., and,.
11,rising sea,-,-, sea, ice,",", of,-, of,-,",",",",","
12,University of, the, St, the, California, California, California, California, California, California, California, Washington, California
13,We will, be, be,., be, be, be, be, not, be, be, be, be
14,Do you, out, like, and, have, have, have, think, think, have, think, have, want
15,When you, are, press,",",'re,'re,'re,'re,'re,'re,'re,'re,'re
16,did not, show, be,"
", have, have, have, have, have, have, have, have, have
17,You can, also, use,",", see, also, also, also, also,'t, also, see, also
18,You may, be, have, ', have, also, have, also, have, have, have, have, be
19,He was, a, a, the, a, a, a, a, a, a, a, a, a
20,If you, are, want, the, are,'re,'re,'re,'re,'re,'re, have, have
21,when they, are, were, and,'re,'re,'re, are,'re,'re,'re, were, are
22,be in, the, the, the, the, the, the, the, the, the, the, the, the
23,the end,-, of, of, of, of, of, of, of, of, of, of, of
24,the past,",", few, year,",", two,",",",", few, few,",",",", few
25,each other, than, $, [,",",",",'s,",",),),),",",","
26,and there,'s,'s, and,'s,'s,'s,'s,'s,'s,'s, are,'s
27,on all, the, the,., the, the, the, the, the, the, the, the, the
28,the form, of, of, of, of, of, of, of, of, of, of, of, of
29,in all, the, the, the,",", the, the, the, the, the, the,",", the
30,years ago,.,.,",",.,",",",",.,",",",",.,",",","
31,for example, of,",",",",",",",",",",",",",",",",",",",",","
32,to top,-, of, the, of,-, it, of, it, it, it,-, of
33,and on, the, the, the, the, the, the, the, the, the, the, the, the
34,as well,., as, the, as, as, as, as, as, as, as, as, as
35,to all, of, the,",", the, the, the, the, the, the, the, of, the
36,as possible,., to,-,.,.,.,.,.,.,.,.,.
37,a member,), of, the, of, of, of, of, of, of, of, of, of
38,more info,.,",",., on,],),:,:,], on, on, on
