,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-1.792118253141424,2.7512400928769223,0.5452544689178467,,0.4514429569244385,0.34626156091690063,0.2954632639884949,0.2627872824668884,0.20651906728744507,0.15219926834106445,0.12632626295089722,0.14857834577560425,0.08793514966964722,0.029476940631866455,0.14792460203170776,,16.84932518005371,14.024429321289062,12.388068199157715,11.35103702545166,12.525277137756348,11.405261039733887,15.371142387390137,14.421097755432129,16.772642135620117,23.629959106445312,33.35523223876953
1,1,-1.7850909222053288,2.8854300440065854,0.8643282055854797,,,0.28678184747695923,0.28023260831832886,0.22285205125808716,0.17337733507156372,0.17423886060714722,0.13658905029296875,0.20646554231643677,0.13514423370361328,0.058744728565216064,0.14594674110412598,,,13.866852760314941,12.27026081085205,11.188960075378418,12.210848808288574,12.473487854003906,16.049652099609375,17.660646438598633,21.542673110961914,35.20781326293945,54.512664794921875
2,2,-0.6574799361922291,3.6177647974068674,2.6037826538085938,,,,0.330085813999176,0.47532933950424194,0.520311027765274,0.6839566230773926,0.8275777846574783,0.7750351876020432,0.5485579669475555,0.25560444593429565,0.536175012588501,,,,16.421506881713867,20.64038848876953,23.104734420776367,28.52794647216797,37.31642532348633,38.15814971923828,44.213626861572266,71.9832534790039,136.52125549316406
3,3,-2.671506644699429,2.500373453725402,0.09710051119327545,,,,,0.15406465530395508,0.10388898849487305,0.07921600341796875,0.053817570209503174,0.07543343305587769,0.052432239055633545,0.01524275541305542,0.12705737352371216,,,,,9.356088638305664,8.680538177490234,8.27075481414795,10.140881538391113,10.004487991333008,12.596588134765625,16.12544059753418,35.15328598022461
4,4,-3.302112869745289,2.2550603955081017,0.08210701495409012,,,,,,0.07638120651245117,0.05603289604187012,0.030245959758758545,0.046261608600616455,0.028097927570343018,0.01102215051651001,0.04933053255081177,,,,,,7.892117977142334,6.869678497314453,7.536515712738037,7.656772613525391,9.177375793457031,12.669032096862793,19.71122932434082
5,5,-2.886314751833053,2.618826136883703,0.057653024792671204,,,,,,,0.10476034879684448,0.059255123138427734,0.07718485593795776,0.037054240703582764,0.016511738300323486,0.10276633501052856,,,,,,,9.990960121154785,10.423233985900879,10.912947654724121,12.48582935333252,16.44266700744629,28.583078384399414
6,6,-3.5570619106611323,2.3884926760091956,0.044366929680109024,,,,,,,,0.04374581575393677,0.056524455547332764,0.02834874391555786,0.012050807476043701,0.022346794605255127,,,,,,,,10.151122093200684,8.729475975036621,9.66970157623291,12.9547700881958,13.842066764831543
7,7,-3.007514153721397,2.709188396267374,0.039219312369823456,,,,,,,,,0.11736077070236206,0.06329280138015747,0.016436636447906494,0.048834025859832764,,,,,,,,,13.48365306854248,13.664440155029297,15.044212341308594,18.347352981567383
8,8,-3.877066264772028,2.7507253819096618,0.0597824864089489,,,,,,,,,,0.04062700271606445,0.010111510753631592,0.021627366542816162,,,,,,,,,,12.003888130187988,15.165702819824219,21.071239471435547
9,9,-2.9435940693846363,3.4356314268590484,0.06704779714345932,,,,,,,,,,,0.04113858938217163,0.06744927167892456,,,,,,,,,,,26.643861770629883,36.18714904785156
10,10,-2.146250594672739,3.912294651288326,0.3761158585548401,,,,,,,,,,,,0.11692172288894653,,,,,,,,,,,,50.01358413696289
11,11,,,0.16057270765304565,,,,,,,,,,,,,,,,,,,,,,,,
