,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-0.20090521686252238,4.319624482956463,6.0807294845581055,,1.1393881887197495,1.0284435357898474,0.8616564273834229,0.9195133373141289,0.91427081823349,0.9351039752364159,0.9607713930308819,0.946224395185709,0.781107023358345,0.44247740507125854,0.43987852334976196,,66.88446807861328,174.5635986328125,58.23051834106445,52.66200637817383,50.071807861328125,45.2252197265625,50.43302917480469,52.465850830078125,63.80938720703125,93.64038848876953,337.3178405761719
1,1,-0.18856187674557204,4.275134225434611,5.191026210784912,,,0.9769052360206842,0.856478750705719,0.8936060443520546,0.8433291167020798,0.9413477629423141,0.9654812403023243,0.9843914778903127,0.9383287727832794,0.5569714307785034,0.514664500951767,,,132.3104248046875,74.91429901123047,58.742523193359375,44.560237884521484,40.08871841430664,47.92850875854492,47.521175384521484,60.52867126464844,89.64569091796875,286.8265380859375
2,2,-0.25110340045628643,4.4349670666522805,5.616416931152344,,,,0.8595855981111526,0.8508089333772659,0.9196193516254425,0.9981172233819962,1.0487936586141586,0.945029865950346,0.8240439891815186,0.43534237146377563,0.4372168183326721,,,,97.1278305053711,64.30997467041016,54.67801284790039,53.64767837524414,58.930179595947266,58.567935943603516,69.7378921508789,120.53427124023438,406.6050720214844
3,3,-0.3318393108805287,4.366526075438079,5.412926197052002,,,,,0.8005997091531754,0.8399143069982529,0.9039849042892456,0.8714979141950607,0.9363984540104866,0.8496847301721573,0.36175423860549927,0.46117109060287476,,,,,77.36688232421875,57.61988830566406,53.6009407043457,53.06978988647461,57.338069915771484,71.78365325927734,93.80680084228516,302.7019348144531
4,4,-0.36720504198637743,4.471970390319456,5.496720790863037,,,,,,0.7890181541442871,0.9509495198726654,1.0031280145049095,0.9288210049271584,0.7496257126331329,0.3139699101448059,0.4649527072906494,,,,,,71.78182220458984,56.8276252746582,58.24398422241211,60.47017288208008,72.21973419189453,116.9994125366211,324.2340393066406
5,5,-0.3187802241540709,4.47545191365222,5.1173319816589355,,,,,,,0.9206070676445961,0.9723269995301962,0.9152076244354248,0.8375683277845383,0.3393703103065491,0.634209394454956,,,,,,,74.60334014892578,61.86251449584961,64.20796966552734,76.64722442626953,106.55654907226562,189.7287139892578
6,6,-0.5170485135319929,4.744202785144992,4.95005989074707,,,,,,,,0.7448990643024445,0.8714313954114914,0.7413817346096039,0.35322827100753784,0.4434201717376709,,,,,,,,77.37358856201172,74.59455871582031,80.0241470336914,118.04989624023438,367.5520935058594
7,7,-0.5643929887554914,5.0143701191555134,5.252232074737549,,,,,,,,,0.8398690074682236,0.7691003084182739,0.3825605511665344,0.42330580949783325,,,,,,,,,81.09333038330078,91.5788345336914,131.52000427246094,526.1154174804688
8,8,-0.7722404641891041,5.252882988309711,5.251230239868164,,,,,,,,,,0.7390138804912567,0.33166247606277466,0.4022645354270935,,,,,,,,,,107.5241928100586,149.9386749267578,432.986572265625
9,9,-0.944384253529486,5.590279790062752,5.767614841461182,,,,,,,,,,,0.3814271092414856,0.3965579867362976,,,,,,,,,,,138.37461853027344,518.3211059570312
10,10,-0.8822594417876838,6.641339366737344,9.820103645324707,,,,,,,,,,,,0.41384679079055786,,,,,,,,,,,,766.1204223632812
11,11,,,10.515706062316895,,,,,,,,,,,,,,,,,,,,,,,,
