,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.046745037546927,-5.11007051555335,4.107737794356581e-08,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00760157173499465,0.006026356015354395,0.0052398801781237125,0.004959556739777327,0.004896926693618298,0.004696419928222895,0.00497822742909193,0.005382983945310116,0.0059988051652908325,0.007962718605995178,0.011047192849218845
1,1,-16.03960997620579,-5.109089873498165,3.565121176052344e-08,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008059816434979439,0.005815865006297827,0.0052179982885718346,0.004967646207660437,0.004647723864763975,0.004892126657068729,0.005268297623842955,0.00570182129740715,0.007208817172795534,0.010828058235347271
2,2,-16.03088934567773,-5.008909505031382,3.474701060213192e-08,,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00922093540430069,0.005928726401180029,0.005394138861447573,0.004933013115078211,0.005531297530978918,0.005487304180860519,0.006088932044804096,0.008960979990661144,0.010965037159621716
3,3,-16.11809565095832,-4.976736734772537,3.091761513474012e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.010643146932125092,0.0059288921765983105,0.004970513749867678,0.005074451211839914,0.0051099336706101894,0.005675955675542355,0.008967944420874119,0.012359794229269028
4,4,-16.11809565095832,-5.071442696064436,2.693895062577667e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0059892404824495316,0.00479971943423152,0.004982359241694212,0.0049432143568992615,0.0055207787081599236,0.007961448282003403,0.012286488898098469
5,5,-16.11809565095832,-5.062462878499551,1.6023875559767475e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.006671826355159283,0.005364620592445135,0.00495340907946229,0.005220814608037472,0.007186287082731724,0.00967005267739296
6,6,-16.11809565095832,-5.064920723526777,1.5814659803936593e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.006740360986441374,0.0049223825335502625,0.005052682012319565,0.006616148166358471,0.009049893356859684
7,7,-16.11809565095832,-5.227838392863012,4.342244785959792e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.005940859206020832,0.004323083907365799,0.004847149830311537,0.006655065342783928
8,8,-16.11809565095832,-4.989562111633522,1.2908363267172263e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.00587800657376647,0.005787050351500511,0.00927844550460577
9,9,-16.11809565095832,-5.085269853244977,9.10834341283362e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0050284345634281635,0.0076127853244543076
10,10,-16.11809565095832,-4.597996840065631,4.704500344843154e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.010071891359984875
11,11,,,5.053705232072048e-10,,,,,,,,,,,,,,,,,,,,,,,,
