,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-15.876734273471715,-5.215272698044325,2.2653617648416002e-08,,1.1920928955078125e-07,0.0,0.0,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0,,0.007187824230641127,0.004993256647139788,0.004464716650545597,0.0041312361136078835,0.004046992864459753,0.004016170743852854,0.004846523050218821,0.005023956298828125,0.006062854081392288,0.007458873093128204,0.010272511281073093
1,1,-15.867618381211892,-5.0170496766712365,2.7554809989283058e-08,,,1.1920928955078125e-07,5.960464477539063e-08,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,,,0.007247996982187033,0.005980165209621191,0.005155909340828657,0.005230551119893789,0.005086524877697229,0.005759417545050383,0.005929770413786173,0.006729725282639265,0.008624179288744926,0.013798295520246029
2,2,-15.978941612210305,-5.037861191059264,3.401449433226844e-08,,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,0.0,0.0,,,,0.0067901904694736,0.005442650057375431,0.005559299606829882,0.0051398007199168205,0.005674980580806732,0.005855842959135771,0.006670055445283651,0.007996933534741402,0.010875144973397255
3,3,-15.8843308503549,-5.018017248716372,1.6300448990591576e-08,,,,,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0,,,,,0.00581565173342824,0.005641827825456858,0.005194590426981449,0.005795053672045469,0.006226107943803072,0.0065947226248681545,0.008175642229616642,0.01109191495925188
4,4,-15.984515764899225,-5.089150882788708,1.2198282384190406e-08,,,,,,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,5.960464477539063e-08,,,,,,0.005637037102133036,0.004984598606824875,0.005306501407176256,0.005339869298040867,0.006042367313057184,0.00682503217831254,0.010286950506269932
5,5,-16.04017405075718,-5.211890758160519,8.722417454976039e-09,,,,,,,0.0,0.0,0.0,0.0,5.960464477539063e-08,0.0,,,,,,,0.00471768993884325,0.004980145487934351,0.004679000470787287,0.005082978866994381,0.006163455080240965,0.007619247306138277
6,6,-16.11809565095832,-5.110289949760164,6.55610321587119e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.00555385323241353,0.005105507560074329,0.0053928610868752,0.006219242699444294,0.008412397466599941
7,7,-16.00121325065661,-5.1627120640662065,3.5045637503117177e-09,,,,,,,,,0.0,0.0,5.960464477539063e-08,0.0,,,,,,,,,0.0047981021925807,0.0050050332210958,0.005668186116963625,0.00789767224341631
8,8,-16.11809565095832,-5.231836011662992,2.160505330195406e-09,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.004836357664316893,0.005067893303930759,0.00622525392100215
9,9,-16.11809565095832,-5.160067108392173,-6.734102164784872e-10,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.005019092466682196,0.006567229516804218
10,10,-16.11809565095832,-5.255133431428017,-1.3013006228135282e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.005220549646764994
11,11,,,-2.3923552028293216e-09,,,,,,,,,,,,,,,,,,,,,,,,
