,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.046745037546927,-5.19486617050016,4.2564607838357915e-08,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008479777723550797,0.0056959292851388454,0.004676021635532379,0.0039620166644454,0.004124761559069157,0.0041493517346680164,0.004648059140890837,0.0048898253589868546,0.005599028896540403,0.007779163774102926,0.01004753913730383
1,1,-16.03960997620579,-5.078633489185395,3.3837487478649564e-08,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008823352865874767,0.005434560123831034,0.0047176070511341095,0.004610221832990646,0.004640702623873949,0.0051929461769759655,0.005353056360036135,0.0061118993908166885,0.009062863886356354,0.01178743690252304
2,2,-16.03088934567773,-5.276270084002521,3.7167172450836006e-08,,,,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.010722250677645206,0.004098537378013134,0.004125724546611309,0.003664872609078884,0.004183918237686157,0.004187119659036398,0.004570556338876486,0.005796419456601143,0.007721885573118925
3,3,-16.11809565095832,-5.048990876181101,3.241714807700191e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.005686276592314243,0.005678464192897081,0.005476337391883135,0.005500946659594774,0.005793642718344927,0.005960200447589159,0.008364046923816204,0.010217346251010895
4,4,-16.11809565095832,-5.139537387305202,2.8283157149644467e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.006511518266052008,0.00514672975987196,0.004924619570374489,0.00464102765545249,0.0050363377667963505,0.0060837604105472565,0.010114633478224277
5,5,-16.11809565095832,-5.347692560624625,1.6571824801303592e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.005725158378481865,0.0038363211788237095,0.0037548861000686884,0.003946410957723856,0.004800225142389536,0.007436015177518129
6,6,-16.11809565095832,-5.105650604803223,1.769012847319118e-08,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.005496603902429342,0.0047743069007992744,0.004764374345541,0.007551994640380144,0.008671842515468597
7,7,-16.11809565095832,-5.188349866409922,8.226803238642333e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.005199802573770285,0.004745873622596264,0.005518128164112568,0.007125032600015402
8,8,-16.11809565095832,-5.362993637616641,1.2322445286372385e-08,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.004351313691586256,0.004486974328756332,0.00527281453832984
9,9,-16.11809565095832,-4.879581689709028,6.568396937467469e-09,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0053006187081336975,0.01089708786457777
10,10,-16.11809565095832,-5.001810270629999,4.687515264834019e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.006725660525262356
11,11,,,1.9290395947280103e-09,,,,,,,,,,,,,,,,,,,,,,,,
