,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-16.118095650958317,-6.523149978584442,2.6455451163087673e-08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.008032231591641903,0.002731920685619116,0.005659990943968296,0.00203204108402133,0.001361702918075025,0.0008097693207673728,0.0005334891029633582,0.00044345235801301897,0.00038937016506679356,0.0005186178022995591,0.0051659937016665936
1,1,-16.118095650958317,-7.657803133310904,3.9909149762706875e-08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.003032063599675894,0.0007033510482870042,0.0003258296346757561,0.0002769452694337815,0.00022714384249411523,0.00018878650735132396,0.00020197370031382889,0.0002375627518631518,0.00030666880775243044,0.004538765177130699
2,2,-16.11809565095832,-7.920672637125833,3.2570824259892106e-08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0004518353089224547,0.00027911720098927617,0.00025689470930956304,0.00022412104590330273,0.00019148642604704946,0.000208786063012667,0.00024950416991487145,0.0003213991585653275,0.004704636987298727
3,3,-16.11809565095832,-7.917095890573711,2.2125069776279815e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00030541111482307315,0.00027221121126785874,0.0002309533883817494,0.00019569553842302412,0.00021240077330730855,0.00025271374033764005,0.0003248180146329105,0.0047384873032569885
4,4,-16.11809565095832,-7.87144409624897,1.5599152192180554e-08,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0002848893345799297,0.00023740324832033366,0.0001996372448047623,0.00021547717915382236,0.00025565497344359756,0.00032891027512960136,0.004794289357960224
5,5,-16.11809565095832,-7.8116014052320795,7.534270984876912e-09,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00024283990205731243,0.0002030602190643549,0.00021765379642602056,0.0002575642429292202,0.0003310702450107783,0.004812491126358509
6,6,-16.11809565095832,-7.702550414855024,6.371227101453769e-09,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.00020587303151842207,0.00021961017046123743,0.00025908913812600076,0.0003329346945974976,0.004812253173440695
7,7,-16.11809565095832,-7.506081333437045,3.1655391641294273e-09,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.00022019640891812742,0.00025899495813064277,0.0003321568656247109,0.004815615713596344
8,8,-16.11809565095832,-7.19854565441972,-7.132824886291189e-10,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0002597500861156732,0.0003325963334646076,0.004834529012441635
9,9,-16.11809565095832,-6.672952106933803,4.0737793693956803e-10,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.00033217028249055147,0.004813344217836857
10,10,-16.11809565095832,-5.339841374701667,-2.12971928981176e-09,,,,,,,,,,,,0.0,,,,,,,,,,,,0.004796531517058611
11,11,,,9.127892330873522e-10,,,,,,,,,,,,,,,,,,,,,,,,
