,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-7.853754007201863,-0.4076827365200215,0.0006383330910466611,,0.0024133920669555664,0.0014796853065490723,0.000995039939880371,0.00046056509017944336,0.0004805922508239746,0.0004125237464904785,0.00027948617935180664,0.0002487301826477051,0.00019413232803344727,3.11732292175293e-05,0.00022161006927490234,,0.7366482615470886,0.6335117220878601,0.5486980676651001,0.5336592197418213,0.5413110256195068,0.5282208919525146,0.571408748626709,0.6167095899581909,0.6978042721748352,0.9368195533752441,1.2534589767456055
1,1,-8.29248859523148,-0.5239054637985375,0.0003231337759643793,,,0.002731144428253174,0.0010669231414794922,0.00039774179458618164,0.00036406517028808594,0.00027304887771606445,0.00017791986465454102,0.00015676021575927734,0.00012034177780151367,1.823902130126953e-05,0.0001373291015625,,,0.8615779280662537,0.5757144093513489,0.5113743543624878,0.48038652539253235,0.44544273614883423,0.47903168201446533,0.5048260688781738,0.5505247116088867,0.721506655216217,1.0175622701644897
2,2,-8.151279956614232,-0.36900375463862645,0.0005053300992585719,,,,0.0035013556480407715,0.0006502866744995117,0.0005751848220825195,0.0003834962844848633,0.00023758411407470703,0.00020080804824829102,0.00015234947204589844,2.372264862060547e-05,0.00015920400619506836,,,,1.0211182832717896,0.6457109451293945,0.6035161018371582,0.5274313688278198,0.5436099767684937,0.5712912082672119,0.6257420778274536,0.8152503371238708,1.086158037185669
3,3,-8.43177430421105,-0.37722326115475185,0.00039322665543295443,,,,,0.0010231733322143555,0.000658571720123291,0.0003827214241027832,0.00022482872009277344,0.00018399953842163086,0.00013870000839233398,2.1576881408691406e-05,0.00015878677368164062,,,,,0.9171448945999146,0.6384711861610413,0.524109959602356,0.5287501811981201,0.544213593006134,0.6001554727554321,0.8068147897720337,1.1437548398971558
4,4,-8.703372660141955,-0.43404953666114016,0.0003906115307472646,,,,,,0.0006628036499023438,0.00038945674896240234,0.0002021193504333496,0.00017011165618896484,0.00012254714965820312,1.913309097290039e-05,0.00016707181930541992,,,,,,0.6442983150482178,0.5341444611549377,0.5080243945121765,0.5322015881538391,0.5757836103439331,0.7269900441169739,1.2301796674728394
5,5,-8.853483816855618,-0.35681214150574125,0.00030204185168258846,,,,,,,0.0008565187454223633,0.0002759695053100586,0.00016963481903076172,0.0001138448715209961,1.6510486602783203e-05,0.00011289119720458984,,,,,,,0.8518732190132141,0.6500189304351807,0.5383661389350891,0.5557814836502075,0.703812301158905,1.008070945739746
6,6,-9.488985203004209,-0.5223444955446106,0.00021426241437438875,,,,,,,,0.00025069713592529297,0.0001410841941833496,8.70823860168457e-05,1.1324882507324219e-05,7.11679458618164e-05,,,,,,,,0.6331167817115784,0.4964386820793152,0.4921882450580597,0.5919048190116882,0.8016979694366455
7,7,-9.548254230501703,-0.42806922705877815,0.00018877192633226514,,,,,,,,,0.00021398067474365234,0.00011181831359863281,1.3947486877441406e-05,7.75456428527832e-05,,,,,,,,,0.6192717552185059,0.559518575668335,0.6364570260047913,0.8182814717292786
8,8,-9.820693990586129,-0.32205378929801376,0.0001484912063460797,,,,,,,,,,0.00012099742889404297,1.239776611328125e-05,0.0001068115234375,,,,,,,,,,0.6283532977104187,0.6129659414291382,0.9880096912384033
9,9,-10.506173085629225,-0.31068316426895126,0.00011953513603657484,,,,,,,,,,,1.1742115020751953e-05,6.377696990966797e-05,,,,,,,,,,,0.7381274700164795,0.7278010249137878
10,10,-9.407131706891303,-0.12091188567055955,0.00010824355558725074,,,,,,,,,,,,8.213520050048828e-05,,,,,,,,,,,,0.8861120343208313
11,11,,,6.14122545812279e-05,,,,,,,,,,,,,,,,,,,,,,,,
