,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-8.507183183812371,-0.7355701740016415,0.0003141454071737826,,0.0018732547760009766,0.0007295608520507812,0.00046634674072265625,0.0002822279930114746,0.000256955623626709,0.0001677870750427246,0.00011527538299560547,0.00012087821960449219,0.00010782480239868164,2.1278858184814453e-05,9.22083854675293e-05,,0.6953109502792358,0.49552974104881287,0.4056493937969208,0.35179510712623596,0.36708658933639526,0.3744657635688782,0.4132238030433655,0.43129652738571167,0.4795569181442261,0.6244733929634094,0.8488281965255737
1,1,-8.37121314825224,-0.5827810263429913,0.00044453065493144095,,,0.0016180872917175293,0.000854194164276123,0.0004596710205078125,0.0003619194030761719,0.00023359060287475586,0.0001620650291442871,0.00014662742614746094,0.00012433528900146484,2.658367156982422e-05,0.00010448694229125977,,,0.7095040082931519,0.5377671122550964,0.44280749559402466,0.43685632944107056,0.4416392147541046,0.49201062321662903,0.4784852862358093,0.5220195651054382,0.7255761027336121,1.0130503177642822
2,2,-8.532777589090378,-0.5892176696334167,0.00038583995774388313,,,,0.0011519193649291992,0.0005558133125305176,0.0004698634147644043,0.00023090839385986328,0.00014656782150268555,0.0001456737518310547,0.00012671947479248047,2.5331974029541016e-05,9.34600830078125e-05,,,,0.6178951859474182,0.4903634190559387,0.49877211451530457,0.4402676522731781,0.4689379334449768,0.4806043803691864,0.5233868956565857,0.7358829975128174,0.8617228865623474
3,3,-8.857620318615147,-0.6531742739251931,0.0002454545465297997,,,,,0.0005930662155151367,0.0004252791404724121,0.00022161006927490234,0.00013387203216552734,0.00012201070785522461,0.00010842084884643555,2.008676528930664e-05,8.45193862915039e-05,,,,,0.5000512599945068,0.47690126299858093,0.43330323696136475,0.45311611890792847,0.4435117840766907,0.482219934463501,0.6007341742515564,0.8940525054931641
4,4,-9.269405294152742,-0.7579363698147602,0.0001725530601106584,,,,,,0.0004520416259765625,0.0002117753028869629,0.00012004375457763672,0.00010758638381958008,8.058547973632812e-05,1.33514404296875e-05,4.971027374267578e-05,,,,,,0.4856419861316681,0.42417266964912415,0.4280601143836975,0.4125520586967468,0.41906681656837463,0.4950525760650635,0.6577333807945251
5,5,-9.46234169256745,-0.7308854929137064,0.00015451638319063932,,,,,,,0.0002586245536804199,0.00011944770812988281,0.00011026859283447266,9.357929229736328e-05,1.3828277587890625e-05,5.0008296966552734e-05,,,,,,,0.4715409278869629,0.42816027998924255,0.418875128030777,0.4537968337535858,0.5042485594749451,0.6438227295875549
6,6,-9.865673979265328,-0.79471928164261,0.000129871245007962,,,,,,,,0.0001245737075805664,9.256601333618164e-05,7.009506225585938e-05,1.1980533599853516e-05,3.898143768310547e-05,,,,,,,,0.44684064388275146,0.38335752487182617,0.3882625102996826,0.47189539670944214,0.5991852879524231
7,7,-10.175448175222783,-0.8506152517409071,0.00010665232548490167,,,,,,,,,9.256601333618164e-05,6.580352783203125e-05,1.0192394256591797e-05,3.3915042877197266e-05,,,,,,,,,0.3846033215522766,0.37683236598968506,0.4219878911972046,0.5443381071090698
8,8,-10.376478775234432,-0.7594967685348637,6.608104740735143e-05,,,,,,,,,,7.76052474975586e-05,1.2040138244628906e-05,3.236532211303711e-05,,,,,,,,,,0.4125373959541321,0.47173070907592773,0.526388943195343
9,9,-11.08141818701408,-0.823070364386643,4.855477891396731e-05,,,,,,,,,,,9.119510650634766e-06,2.5987625122070312e-05,,,,,,,,,,,0.39376282691955566,0.4896158277988434
10,10,-9.74898355396002,-0.21970297118022591,3.7103203794686124e-05,,,,,,,,,,,,5.835294723510742e-05,,,,,,,,,,,,0.802757203578949
11,11,,,2.9818938855896704e-05,,,,,,,,,,,,,,,,,,,,,,,,
