,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-7.958243621406033,-0.4575874010161598,0.0006448666681535542,,0.0023310184478759766,0.000851750373840332,0.0005561113357543945,0.0004036426544189453,0.00041240453720092773,0.00028437376022338867,0.00022161006927490234,0.0002503395080566406,0.00026029348373413086,6.192922592163086e-05,0.00020503997802734375,,0.7754755616188049,0.5234082341194153,0.4392777681350708,0.4247356355190277,0.4663863778114319,0.4895555377006531,0.579779863357544,0.6218026280403137,0.7374724745750427,1.0705716609954834,1.3240482807159424
1,1,-8.200402751661766,-0.51463952402355,0.00032049950095824897,,,0.0022873878479003906,0.0009025335311889648,0.000504612922668457,0.00039321184158325195,0.0002555251121520996,0.00017523765563964844,0.00017535686492919922,0.00016438961029052734,3.725290298461914e-05,0.00012350082397460938,,,0.8403089046478271,0.5588573217391968,0.46762028336524963,0.45731082558631897,0.46410682797431946,0.5168265104293823,0.5219190716743469,0.5782427191734314,0.8119701743125916,0.9860252737998962
2,2,-8.338942794090134,-0.5066530132392285,0.0004970831796526909,,,,0.002112448215484619,0.0006574392318725586,0.0005003213882446289,0.0002518892288208008,0.00017577409744262695,0.0001639723777770996,0.00014716386795043945,2.7418136596679688e-05,0.00012511014938354492,,,,0.8238123655319214,0.5184454917907715,0.5131117105484009,0.45866668224334717,0.5082273483276367,0.5041065216064453,0.555882453918457,0.7385602593421936,0.9896479845046997
3,3,-8.35348384352201,-0.41855059542772466,0.0003926483041141182,,,,,0.0008944869041442871,0.0007081031799316406,0.00035125017166137695,0.0002167224884033203,0.0002143383026123047,0.00018835067749023438,3.4332275390625e-05,0.00014191865921020508,,,,,0.6305804252624512,0.6067584753036499,0.5450087785720825,0.5777716636657715,0.5777283906936646,0.6234518885612488,0.7805153131484985,1.0374857187271118
4,4,-8.99632852082161,-0.5925986081615392,0.00039504520827904344,,,,,,0.0005548000335693359,0.00025069713592529297,0.0001354217529296875,0.00012552738189697266,0.0001055002212524414,2.3484230041503906e-05,7.635354995727539e-05,,,,,,0.5494452118873596,0.4618469476699829,0.4532691240310669,0.44799771904945374,0.47537660598754883,0.7182609438896179,0.897613525390625
5,5,-9.224739514510405,-0.6122022365064405,0.0003047295322176069,,,,,,,0.0003287196159362793,0.0001405477523803711,0.00012683868408203125,0.00010770559310913086,2.0503997802734375e-05,7.086992263793945e-05,,,,,,,0.5339938998222351,0.4719107151031494,0.4535265862941742,0.47805172204971313,0.5962693095207214,0.7795203328132629
6,6,-9.442573069290265,-0.5297298988298327,0.00021515885600820184,,,,,,,,0.00020885467529296875,0.0001366734504699707,9.435415267944336e-05,1.6570091247558594e-05,7.015466690063477e-05,,,,,,,,0.6002364754676819,0.48164042830467224,0.45913347601890564,0.6416656970977783,0.8306403756141663
7,7,-9.682229535592887,-0.5739802526693887,0.00018996026483364403,,,,,,,,,0.0001341700553894043,0.00010836124420166016,1.5914440155029297e-05,6.54458999633789e-05,,,,,,,,,0.472083181142807,0.4945252239704132,0.5372084975242615,0.8026834726333618
8,8,-10.100405186799536,-0.5875701189016548,0.00014860037481412292,,,,,,,,,,9.942054748535156e-05,1.3053417205810547e-05,5.334615707397461e-05,,,,,,,,,,0.5008891820907593,0.4858425259590149,0.705062210559845
9,9,-10.862214664250843,-0.7006010983610411,0.00012109546514693648,,,,,,,,,,,1.1086463928222656e-05,3.314018249511719e-05,,,,,,,,,,,0.43655920028686523,0.5641862154006958
10,10,-10.180307391176052,-0.4805809736717571,0.00010855201253434643,,,,,,,,,,,,3.790855407714844e-05,,,,,,,,,,,,0.6184239983558655
11,11,,,6.13652664469555e-05,,,,,,,,,,,,,,,,,,,,,,,,
