,layer_num,cosine_lyapunov,distance_lyapunov,KL_logit_div,cosine_sim_0,cosine_sim_1,cosine_sim_2,cosine_sim_3,cosine_sim_4,cosine_sim_5,cosine_sim_6,cosine_sim_7,cosine_sim_8,cosine_sim_9,cosine_sim_10,cosine_sim_11,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11
0,0,-8.591586468026113,-0.7794267622013848,0.0003405420866329223,,0.0019050240516662598,0.0007101893424987793,0.0004106760025024414,0.00024878978729248047,0.00022727251052856445,0.00014775991439819336,0.00010436773300170898,0.00010836124420166016,0.00010204315185546875,2.0325183868408203e-05,8.296966552734375e-05,,0.7050653696060181,0.4857911169528961,0.378166526556015,0.32878655195236206,0.346466600894928,0.34996601939201355,0.39197248220443726,0.4084492623806,0.46394193172454834,0.6044909954071045,0.8152322173118591
1,1,-8.304658149564256,-0.5662684086448474,0.0004240598645992577,,,0.0017048120498657227,0.0008779764175415039,0.00048476457595825195,0.00038945674896240234,0.00023412704467773438,0.00016045570373535156,0.00015997886657714844,0.0001456737518310547,2.8848648071289062e-05,0.0001201629638671875,,,0.732676088809967,0.5473076701164246,0.4596579372882843,0.4522126317024231,0.4425915777683258,0.48627498745918274,0.4976803958415985,0.552976667881012,0.7219794392585754,0.974404513835907
2,2,-8.509899731723685,-0.5827090765582652,0.000370624999050051,,,,0.0011599063873291016,0.0005735158920288086,0.0004450082778930664,0.00024443864822387695,0.0001558065414428711,0.00014960765838623047,0.00013053417205810547,2.491474151611328e-05,9.965896606445312e-05,,,,0.6224674582481384,0.49538949131965637,0.48321619629859924,0.4537813365459442,0.4874117076396942,0.48408395051956177,0.5313231348991394,0.6850022077560425,0.9088141322135925
3,3,-8.894752516247953,-0.6738091929861768,0.0002686097868718207,,,,,0.000591278076171875,0.0004131197929382324,0.0002167820930480957,0.0001302957534790039,0.00012356042861938477,0.00010418891906738281,1.9252300262451172e-05,7.301568984985352e-05,,,,,0.502900242805481,0.4649534821510315,0.4298674762248993,0.4477008879184723,0.44369781017303467,0.4750543534755707,0.5938979387283325,0.8094514012336731
4,4,-9.145136827806267,-0.6907425850983762,0.00019254040671512485,,,,,,0.0004875063896179199,0.00022327899932861328,0.00012487173080444336,0.00011396408081054688,9.328126907348633e-05,1.6689300537109375e-05,6.54458999633789e-05,,,,,,0.5093355774879456,0.43583956360816956,0.43943044543266296,0.42718276381492615,0.4498078227043152,0.5591040849685669,0.7581339478492737
5,5,-9.473240676070139,-0.7266631586573182,0.0001471775904064998,,,,,,,0.0002485513687133789,0.00012218952178955078,0.00010538101196289062,8.356571197509766e-05,1.4603137969970703e-05,5.2869319915771484e-05,,,,,,,0.46308887004852295,0.4371494948863983,0.412041038274765,0.4266512095928192,0.5171337127685547,0.6943438053131104
6,6,-9.76720888886501,-0.741774243995725,0.00012194664304843172,,,,,,,,0.00013238191604614258,0.00010395050048828125,7.718801498413086e-05,1.2636184692382812e-05,4.601478576660156e-05,,,,,,,,0.45835018157958984,0.4105018973350525,0.40889063477516174,0.48927319049835205,0.6510083079338074
7,7,-10.055062373403857,-0.771203783562348,9.726966527523473e-05,,,,,,,,,0.00010561943054199219,7.146596908569336e-05,1.1205673217773438e-05,4.029273986816406e-05,,,,,,,,,0.4155053198337555,0.3946632444858551,0.4574976861476898,0.6096627116203308
8,8,-10.410903629126159,-0.7571333836522364,7.303976599359885e-05,,,,,,,,,,7.212162017822266e-05,1.0609626770019531e-05,3.5643577575683594e-05,,,,,,,,,,0.3996490240097046,0.45233356952667236,0.5706973671913147
9,9,-10.880755362447783,-0.6862648043105594,5.436503852251917e-05,,,,,,,,,,,1.055002212524414e-05,3.355741500854492e-05,,,,,,,,,,,0.46012794971466064,0.5508576035499573
10,10,-10.24358711790159,-0.5623998422202825,4.184503995929845e-05,,,,,,,,,,,,3.55839729309082e-05,,,,,,,,,,,,0.5698398947715759
11,11,,,3.251495218137279e-05,,,,,,,,,,,,,,,,,,,,,,,,
